measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2011-11-01,,,,,,,-19.0,0.0,0.0,-762.0,0.0,0.0
2011-12-01,,,,,,,-33.0,0.0,0.0,-572.0,8529.0,8529.0
2012-01-01,,,,,,,-30.0,0.0,0.0,-931.0,40.0,40.0
2012-02-01,,,,,,,-29.0,0.0,0.0,-876.0,5286.0,5286.0
2012-03-01,,,,,,,-13.0,0.0,0.0,4093.0,64465.0,64465.0
2012-04-01,,,,,,,0.0,0.0,0.0,11079.0,148186.0,148186.0
2012-05-01,,,,,,,0.0,0.0,0.0,6090.0,95360.0,95360.0
2012-06-01,,,,,,,78.0,1957.0,1957.0,21513.0,268492.0,268492.0
2012-07-01,,,,,,,9.0,276.0,276.0,15179.0,199358.0,199358.0
2012-08-01,,,,,,,42.0,721.0,721.0,59403.0,733673.0,733673.0
2012-09-01,,,,,,,3.0,186.0,186.0,27429.0,349858.0,349858.0
2012-10-01,,,,,,,10.0,303.0,303.0,1569.0,34728.0,34728.0
2012-11-01,,,,,,,-22.0,0.0,0.0,-90.0,9244.0,9244.0
2012-12-01,,,,,,,-25.0,95.0,95.0,-793.0,3902.0,3902.0
2013-01-01,,,,,,,-34.0,0.0,0.0,-943.0,0.0,0.0
2013-02-01,,,,,,,-24.0,0.0,0.0,-789.0,0.0,0.0
2013-03-01,,,,,,,-24.0,0.0,0.0,-863.0,0.0,0.0
2013-04-01,,,,,,,-20.0,0.0,0.0,-847.0,1027.0,1027.0
2013-05-01,,,,,,,44.0,1010.0,1010.0,3879.0,66387.0,66387.0
2013-06-01,,,,,,,-21.0,0.0,0.0,31228.0,388731.0,388731.0
2013-07-01,,,,,,,-20.0,0.0,0.0,37201.0,464800.0,464800.0
2013-08-01,,,,,,,6.0,350.0,350.0,44076.0,538785.0,538785.0
2013-09-01,,,,,,,-20.0,0.0,0.0,40752.0,506723.0,506723.0
2013-10-01,,,,,,,-17.0,0.0,0.0,-573.0,5185.0,5185.0
2013-11-01,,,,,,,-28.0,0.0,0.0,-861.0,0.0,0.0
2013-12-01,,,,,,,-41.0,0.0,0.0,-901.0,0.0,0.0
2014-01-01,,,,,,,-27.0,0.0,0.0,-918.0,0.0,0.0
2014-02-01,,,,,,,-42.0,0.0,0.0,-838.0,0.0,0.0
2014-03-01,,,,,,,-26.0,0.0,0.0,-690.0,0.0,0.0
2014-04-01,,,,,,,0.0,0.0,0.0,-447.0,0.0,0.0
2014-05-01,,,,,,,0.0,0.0,0.0,-373.0,0.0,0.0
2014-06-01,,,,,,,0.0,0.0,0.0,-379.0,0.0,0.0
2014-07-01,,,,,,,0.0,0.0,0.0,-404.0,0.0,0.0
2014-08-01,,,,,,,0.0,0.0,0.0,-396.0,0.0,0.0
2014-09-01,,,,,,,0.0,0.0,0.0,-362.0,0.0,0.0
2014-10-01,,,,,,,0.0,0.0,0.0,-396.0,0.0,0.0
2014-11-01,,,,,,,0.0,0.0,0.0,-415.0,0.0,0.0
2014-12-01,,,,,,,0.0,0.0,0.0,-423.0,0.0,0.0
2015-01-01,,,,,,,0.0,0.0,0.0,-445.0,0.0,0.0
2015-02-01,,,,,,,0.0,0.0,0.0,-359.0,0.0,0.0
2015-03-01,,,,,,,0.0,0.0,0.0,-380.0,0.0,0.0
2015-04-01,,,,,,,0.0,0.0,0.0,-331.0,0.0,0.0
2015-05-01,,,,,,,0.0,0.0,0.0,-342.0,0.0,0.0
2015-06-01,,,,,,,0.0,0.0,0.0,-330.0,0.0,0.0
2015-07-01,,,,,,,0.0,0.0,0.0,-343.0,0.0,0.0
2015-08-01,,,,,,,0.0,0.0,0.0,-352.0,0.0,0.0
2015-09-01,,,,,,,0.0,0.0,0.0,-315.0,0.0,0.0
2015-10-01,,,,,,,0.0,0.0,0.0,-255.0,0.0,0.0
2015-11-01,,,,,,,0.0,0.0,0.0,-254.0,0.0,0.0
2015-12-01,,,,,,,0.0,0.0,0.0,-248.0,0.0,0.0
