measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2019-04-01,,,,10974.65,97729.0,97729.0
2019-05-01,,,,11820.398,105261.0,105261.0
2019-06-01,,,,11475.91,102193.0,102193.0
2019-07-01,,,,11869.596,105699.0,105699.0
2019-08-01,,,,11984.707,106724.0,106724.0
2019-09-01,,,,11751.68,104649.0,104649.0
2019-10-01,,,,10026.787,89289.0,89289.0
2019-11-01,,,,9156.026,81534.0,81534.0
2019-12-01,,,,10783.908,96031.0,96031.0
2020-01-01,,,,10306.492,90357.0,90357.0
2020-02-01,,,,10971.862,96190.0,96190.0
2020-03-01,,,,11459.097,100462.0,100462.0
2020-04-01,,,,10829.888,94946.0,94946.0
2020-05-01,,,,10342.806,90675.0,90675.0
2020-06-01,,,,9520.705,83468.0,83468.0
2020-07-01,,,,8991.726,78830.0,78830.0
2020-08-01,,,,8747.917,76693.0,76693.0
2020-09-01,,,,9442.264,82780.0,82780.0
2020-10-01,,,,10481.797,91894.0,91894.0
2020-11-01,,,,11182.796,98040.0,98040.0
2020-12-01,,,,11719.65,102746.0,102746.0
2021-01-01,,,,10492.991,92800.0,92800.0
2021-02-01,,,,9193.807,81310.0,81310.0
2021-03-01,,,,8163.249,72196.0,72196.0
2021-04-01,,,,9362.04,82798.0,82798.0
2021-05-01,,,,10354.242,91573.0,91573.0
2021-06-01,,,,8981.689,79434.0,79434.0
2021-07-01,,,,8878.906,78525.0,78525.0
2021-08-01,,,,9017.179,79748.0,79748.0
2021-09-01,,,,9352.076,82710.0,82710.0
2021-10-01,,,,10227.095,90448.0,90448.0
2021-11-01,,,,10516.948,93012.0,93012.0
2021-12-01,,,,11777.778,104163.0,104163.0
2022-01-01,,,,11485.566,39189.0,39189.0
2022-02-01,,,,10067.518,34350.0,34350.0
2022-03-01,,,,9063.732,30925.0,30925.0
2022-04-01,,,,8400.638,28663.0,28663.0
2022-05-01,,,,9072.581,30956.0,30956.0
2022-06-01,,,,8890.579,30335.0,30335.0
2022-07-01,,,,8549.423,29171.0,29171.0
2022-08-01,,,,9031.703,30816.0,30816.0
2022-09-01,,,,9262.112,31602.0,31602.0
2022-10-01,,,,8055.454,27485.0,27485.0
2022-11-01,,,,11459.546,39100.0,39100.0
2022-12-01,,,,12048.148,41108.0,41108.0
2023-01-01,,,,11832.0,40371.0,40371.0
2023-02-01,,,,11015.0,37583.0,37583.0
2023-03-01,,,,11006.0,37552.0,37552.0
2023-04-01,,,,8914.0,30415.0,30415.0
2023-05-01,,,,8375.0,28576.0,28576.0
2023-06-01,,,,7460.0,25454.0,25454.0
2023-07-01,,,,6354.0,21680.0,21680.0
2023-08-01,,,,7374.0,25160.0,25160.0
2023-09-01,,,,8022.0,27371.0,27371.0
2023-10-01,,,,9211.0,31428.0,31428.0
2023-11-01,,,,10108.0,34488.0,34488.0
2023-12-01,,,,10460.0,35690.0,35690.0
2024-01-01,,,,10541.0,35966.0,35966.0
2024-02-01,,,,9996.0,34106.0,34106.0
2024-03-01,,,,10114.0,34509.0,34509.0
2024-04-01,,,,8933.0,30479.0,30479.0
2024-05-01,,,,7911.0,26992.0,26992.0
2024-06-01,,,,6285.0,21444.0,21444.0
2024-07-01,,,,5588.0,19066.0,19066.0
2024-08-01,,,,5748.0,19612.0,19612.0
2024-09-01,,,,6302.0,21502.0,21502.0
2024-10-01,,,,7303.0,24918.0,24918.0
2024-11-01,,,,9281.0,31667.0,31667.0
2024-12-01,,,,9637.0,32881.0,32881.0
