measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-04-01,107617.168,1201931.0,1201931.0,0.0,0.0,0.0,2090.832,23352.0,23352.0
2007-05-01,148272.541,1657642.0,1657642.0,76.069,850.0,850.0,3587.39,40106.0,40106.0
2007-06-01,186686.245,1976979.0,1976979.0,0.0,0.0,0.0,20597.755,218127.0,218127.0
2007-07-01,192902.954,2087969.0,2087969.0,1.083,12.0,12.0,6784.962,73440.0,73440.0
2007-08-01,204194.896,2208236.0,2208236.0,0.0,0.0,0.0,12104.104,130898.0,130898.0
2007-09-01,173626.543,1888834.0,1888834.0,3.774,41.0,41.0,269.683,2934.0,2934.0
2007-10-01,205669.11,2191824.0,2191824.0,0.0,0.0,0.0,275.89,2940.0,2940.0
2007-11-01,34648.773,388430.0,388430.0,5.227,59.0,59.0,0.0,0.0,0.0
2007-12-01,-1391.0,0.0,0.0,-1391.0,0.0,0.0,-1391.0,0.0,0.0
2008-01-01,-1604.0,0.0,0.0,0.0,0.0,0.0,-1604.0,0.0,0.0
2008-02-01,-1604.0,0.0,0.0,0.0,0.0,0.0,-1604.0,0.0,0.0
2008-03-01,3176.6490000000003,41454.0,41454.0,0.0,0.0,0.0,44.351,579.0,579.0
2008-04-01,81153.619,855721.0,855721.0,0.0,0.0,0.0,683.3810000000001,7206.0,7206.0
2008-05-01,94056.871,998423.0,998423.0,0.0,0.0,0.0,1173.1290000000001,12453.0,12453.0
2008-06-01,91319.117,1034412.0,1034412.0,0.0,0.0,0.0,199.883,2264.0,2264.0
2008-07-01,97945.993,1074093.0,1074093.0,11.222000000000001,123.0,123.0,3925.786,43051.0,43051.0
2008-08-01,143611.248,1602122.0,1602122.0,8.404,94.0,94.0,15507.348,172999.0,172999.0
2008-09-01,122818.454,1352213.0,1352213.0,0.0,0.0,0.0,293.546,3232.0,3232.0
2008-10-01,134379.95,1502927.0,1502927.0,0.0,0.0,0.0,2485.05,27793.0,27793.0
2008-11-01,170810.446,1876590.0,1876590.0,0.0,0.0,0.0,1897.554,20847.0,20847.0
2008-12-01,170769.075,1848619.0,1848619.0,3.248,35.0,35.0,12310.677,133266.0,133266.0
2009-01-01,194130.439,2085584.0,2085584.0,7.636,82.0,82.0,1234.925,13267.0,13267.0
2009-02-01,159180.767,1775301.0,1775301.0,1.576,18.0,18.0,14230.657,158711.0,158711.0
2009-03-01,104546.825,1201156.0,1201156.0,0.0,0.0,0.0,754.175,8665.0,8665.0
2009-04-01,121743.061,1364228.0,1364228.0,5.772,65.0,65.0,1006.167,11275.0,11275.0
2009-05-01,106443.181,1227749.0,1227749.0,1.524,18.0,18.0,764.295,8816.0,8816.0
2009-06-01,87124.372,1022533.0,1022533.0,0.999,12.0,12.0,712.629,8364.0,8364.0
2009-07-01,76494.974,879690.0,879690.0,0.0,0.0,0.0,1902.026,21873.0,21873.0
2009-08-01,105463.441,1251117.0,1251117.0,8.891,105.0,105.0,13419.668,159198.0,159198.0
2009-09-01,5510.646000000001,129893.0,129893.0,2.486,59.0,59.0,1203.8680000000002,28377.0,28377.0
2009-10-01,71843.134,844896.0,844896.0,22.423000000000002,264.0,264.0,1816.443,21362.0,21362.0
2009-11-01,59571.693,709643.0,709643.0,127.9,1524.0,1524.0,1896.4070000000002,22591.0,22591.0
2009-12-01,154090.103,1664325.0,1664325.0,17.361,188.0,188.0,3068.536,33143.0,33143.0
2010-01-01,173375.947,1919187.0,1919187.0,17.47,193.0,193.0,6558.5830000000005,72600.0,72600.0
2010-02-01,137803.104,1507156.0,1507156.0,5.894,64.0,64.0,356.002,3894.0,3894.0
2010-03-01,77987.328,890973.0,890973.0,37.957,434.0,434.0,551.715,6303.0,6303.0
2010-04-01,37759.471,464273.0,464273.0,58.621,721.0,721.0,1706.9080000000001,20987.0,20987.0
2010-05-01,77800.745,892671.0,892671.0,53.626000000000005,615.0,615.0,5727.629,65718.0,65718.0
2010-06-01,135663.728,1474761.0,1474761.0,58.219,633.0,633.0,3990.0530000000003,43375.0,43375.0
2010-07-01,182704.852,2014170.0,2014170.0,11.694,129.0,129.0,13765.454,151753.0,151753.0
2010-08-01,106322.882,1158096.0,1158096.0,0.0,0.0,0.0,124.11800000000001,1352.0,1352.0
2010-09-01,74778.714,856726.0,856726.0,4.0920000000000005,47.0,47.0,4463.194,51134.0,51134.0
2010-10-01,28451.63,342967.0,342967.0,100.485,1211.0,1211.0,1672.885,20166.0,20166.0
2010-11-01,37902.653,464293.0,464293.0,107.158,1313.0,1313.0,508.189,6225.0,6225.0
2010-12-01,159157.032,1739421.0,1739421.0,43.968,481.0,481.0,0.0,0.0,0.0
2011-01-01,128584.61,1445294.0,1445294.0,17.726,199.0,199.0,8867.663,99673.0,99673.0
2011-02-01,55183.174,607207.0,607207.0,39.409,434.0,434.0,1887.417,20768.0,20768.0
2011-03-01,24733.568,317497.0,317497.0,17.347,223.0,223.0,1014.085,13017.0,13017.0
2011-04-01,16909.07,235448.0,235448.0,2.534,35.0,35.0,342.396,4768.0,4768.0
2011-05-01,20567.008,303180.0,303180.0,33.05,487.0,487.0,1096.942,16170.0,16170.0
2011-06-01,20287.227,328453.0,328453.0,4.343,70.0,70.0,343.43,5560.0,5560.0
2011-07-01,72197.011,914025.0,914025.0,18.052,229.0,229.0,4998.937,63287.0,63287.0
2011-08-01,48167.0,568153.0,568153.0,12.917,152.0,152.0,530.083,6253.0,6253.0
2011-09-01,46277.445,545977.0,545977.0,30.795,363.0,363.0,434.76,5129.0,5129.0
2011-10-01,39782.194,505468.0,505468.0,9.224,117.0,117.0,466.582,5928.0,5928.0
2011-11-01,30998.945,399804.0,399804.0,74.06,955.0,955.0,437.995,5649.0,5649.0
2011-12-01,34049.224,459674.0,459674.0,50.3,679.0,679.0,2417.476,32637.0,32637.0
2012-01-01,38340.156,498623.0,498623.0,76.6,996.0,996.0,6760.244,87919.0,87919.0
2012-02-01,39116.392,452717.0,452717.0,119.493,1383.0,1383.0,72.115,835.0,835.0
2012-03-01,16295.31,241449.0,241449.0,95.313,1412.0,1412.0,34.377,509.0,509.0
2012-04-01,9259.44,159691.0,159691.0,26.163,451.0,451.0,380.397,6560.0,6560.0
2012-05-01,7309.006,134514.0,134514.0,154.43,2842.0,2842.0,591.564,10887.0,10887.0
2012-06-01,12074.449,163824.0,163824.0,87.244,1184.0,1184.0,7638.307,103636.0,103636.0
2012-07-01,8817.68,128987.0,128987.0,61.098,894.0,894.0,5744.222,84028.0,84028.0
2012-08-01,13905.263,186753.0,186753.0,100.355,1348.0,1348.0,604.382,8117.0,8117.0
2012-09-01,-1294.819,14581.0,14581.0,0.0,0.0,0.0,-2.181,25.0,25.0
2012-10-01,9121.554,135210.0,135210.0,115.041,1705.0,1705.0,1031.405,15289.0,15289.0
2012-11-01,11311.5,148466.0,148466.0,164.272,2156.0,2156.0,579.228,7603.0,7603.0
2012-12-01,24072.674,273120.0,273120.0,60.947,691.0,691.0,258.379,2931.0,2931.0
2013-01-01,68509.647,746074.0,746074.0,18.834,205.0,205.0,249.519,2717.0,2717.0
2013-02-01,66737.621,718828.0,718828.0,31.555,340.0,340.0,13383.824,144157.0,144157.0
2013-03-01,48219.764,532577.0,532577.0,55.71,615.0,615.0,257.526,2844.0,2844.0
2013-04-01,0.0,0.0,0.0,-2028.648,2227.0,2227.0,-89.352,98.0,98.0
2013-05-01,-800.353,4467.0,4467.0,-212.101,1184.0,1184.0,-240.546,1342.0,1342.0
2013-06-01,4411.136,67624.0,67624.0,89.829,1377.0,1377.0,5700.035,87383.0,87383.0
2013-07-01,17763.683,234347.0,234347.0,105.538,1392.0,1392.0,7812.779,103070.0,103070.0
2013-08-01,5079.607,79278.0,79278.0,54.443,850.0,850.0,219.95,3433.0,3433.0
2013-09-01,2649.147,53636.0,53636.0,79.304,1606.0,1606.0,245.549,4972.0,4972.0
2013-10-01,221.502,24949.0,24949.0,9.365,1055.0,1055.0,45.133,5084.0,5084.0
2013-11-01,23677.109,286486.0,286486.0,85.239,1031.0,1031.0,1872.652,22659.0,22659.0
2013-12-01,69667.934,773083.0,773083.0,39.078,434.0,434.0,6753.988,74947.0,74947.0
2014-01-01,76810.65,868358.0,868358.0,24.881,281.0,281.0,38456.469,434757.0,434757.0
2014-02-01,50855.968,600519.0,600519.0,252.598,2983.0,2983.0,5205.434,61467.0,61467.0
2014-03-01,48074.236,570007.0,570007.0,50.906,604.0,604.0,19120.858,226712.0,226712.0
2014-04-01,12927.304,182196.0,182196.0,93.135,1313.0,1313.0,520.561,7337.0,7337.0
2014-05-01,5216.498,85864.0,85864.0,0.0,0.0,0.0,2146.502,35331.0,35331.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
