measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2007-12-01,0.538,6.0,12.0,1216.807,10855.0,15679.0
2008-01-01,1.772,18.0,41.0,956.769,10810.0,17079.0
2008-02-01,1.5850000000000002,16.0,29.0,808.5070000000001,9135.0,14430.0
2008-03-01,0.35000000000000003,4.0,6.0,927.696,10481.0,16558.0
2008-04-01,0.7110000000000001,7.0,12.0,902.09,10192.0,16101.0
2008-05-01,0.6880000000000001,7.0,12.0,1097.15,12396.0,19582.0
2008-06-01,0.6940000000000001,7.0,12.0,1332.691,15057.0,23787.0
2008-07-01,0.524,5.0,12.0,1446.019,16337.0,25809.0
2008-08-01,0.21200000000000002,2.0,6.0,1424.354,16092.0,25423.0
2008-09-01,0.259,3.0,6.0,960.03,10846.0,17135.0
2008-10-01,0.41900000000000004,4.0,6.0,919.149,10385.0,16405.0
2008-11-01,0.462,5.0,12.0,706.508,7982.0,12610.0
2008-12-01,0.324,3.0,6.0,783.037,8847.0,13976.0
2009-01-01,1.639,18.0,18.0,1111.251,17205.0,17205.0
2009-02-01,1.425,18.0,18.0,948.255,14681.0,14681.0
2009-03-01,1.348,18.0,18.0,1220.194,18890.0,18890.0
2009-04-01,1.1820000000000002,12.0,12.0,1064.262,16476.0,16476.0
2009-05-01,1.153,12.0,12.0,1424.776,22057.0,22057.0
2009-06-01,0.516,6.0,6.0,1905.307,29497.0,29497.0
2009-07-01,0.221,0.0,0.0,2101.707,32538.0,32538.0
2009-08-01,0.235,0.0,0.0,2108.77,32647.0,32647.0
2009-09-01,0.315,6.0,6.0,1577.958,24429.0,24429.0
2009-10-01,0.442,6.0,6.0,1270.0990000000002,19663.0,19663.0
2009-11-01,0.658,6.0,6.0,977.0740000000001,15126.0,15126.0
2009-12-01,0.866,12.0,12.0,1278.347,19791.0,19791.0
2010-01-01,6.349,88.0,88.0,1908.0330000000001,22352.0,22352.0
2010-02-01,1.481,23.0,23.0,1788.087,20947.0,20947.0
2010-03-01,1.1460000000000001,18.0,18.0,1418.015,16612.0,16612.0
2010-04-01,2.206,29.0,29.0,1662.497,19476.0,19476.0
2010-05-01,1.238,18.0,18.0,2031.048,23793.0,23793.0
2010-06-01,1.0430000000000001,12.0,12.0,2443.9210000000003,28629.0,28629.0
2010-07-01,0.761,12.0,12.0,2552.752,29904.0,29904.0
2010-08-01,0.996,12.0,12.0,3025.241,35440.0,35440.0
2010-09-01,0.783,12.0,12.0,2200.382,25776.0,25776.0
2010-10-01,0.5690000000000001,6.0,6.0,1635.585,19160.0,19160.0
2010-11-01,1.5550000000000002,23.0,23.0,1477.521,17308.0,17308.0
2010-12-01,0.873,12.0,12.0,1541.9180000000001,18064.0,18064.0
2011-01-01,0.588,6.0,6.0,1725.989,21165.0,21165.0
2011-02-01,9.415,88.0,88.0,1567.19,19217.0,19217.0
2011-03-01,1.27,12.0,12.0,1409.882,17288.0,17288.0
2011-04-01,0.736,6.0,6.0,1818.539,22299.0,22299.0
2011-05-01,0.53,6.0,6.0,1936.731,23748.0,23748.0
2011-06-01,0.871,6.0,6.0,2514.019,30827.0,30827.0
2011-07-01,0.639,6.0,6.0,3048.925,37386.0,37386.0
2011-08-01,0.501,6.0,6.0,3281.546,40238.0,40238.0
2011-09-01,0.754,6.0,6.0,2309.013,28313.0,28313.0
2011-10-01,1.527,12.0,12.0,1762.192,21608.0,21608.0
2011-11-01,0.591,6.0,6.0,1625.896,19936.0,19936.0
2011-12-01,1.578,12.0,12.0,1953.078,23949.0,23949.0
2012-01-01,0.0,0.0,0.0,2136.191,25356.0,25356.0
2012-02-01,0.0,0.0,0.0,1991.129,23632.0,23632.0
2012-03-01,0.0,0.0,0.0,2184.904,25932.0,25932.0
2012-04-01,0.0,0.0,0.0,2458.519,29179.0,29179.0
2012-05-01,0.0,0.0,0.0,2641.323,31349.0,31349.0
2012-06-01,0.0,0.0,0.0,2934.567,34830.0,34830.0
2012-07-01,0.0,0.0,0.0,3165.984,37576.0,37576.0
2012-08-01,0.0,0.0,0.0,3283.673,38973.0,38973.0
2012-09-01,0.0,0.0,0.0,2536.681,30108.0,30108.0
2012-10-01,0.0,0.0,0.0,1992.353,23647.0,23647.0
2012-11-01,0.0,0.0,0.0,1804.653,21419.0,21419.0
2012-12-01,0.0,0.0,0.0,1942.023,23049.0,23049.0
2013-01-01,3.011,35.0,35.0,2150.522,28005.0,28005.0
2013-02-01,1.318,18.0,18.0,1698.656,22121.0,22121.0
2013-03-01,1.381,18.0,18.0,1828.594,23813.0,23813.0
2013-04-01,2.147,29.0,29.0,1970.971,25667.0,25667.0
2013-05-01,2.305,29.0,29.0,2121.63,27629.0,27629.0
2013-06-01,1.43,18.0,18.0,2618.906,34105.0,34105.0
2013-07-01,0.977,12.0,12.0,2904.262,37821.0,37821.0
2013-08-01,1.06,12.0,12.0,3232.49,42095.0,42095.0
2013-09-01,1.37,18.0,18.0,2734.871,35615.0,35615.0
2013-10-01,1.75,23.0,23.0,2139.852,27866.0,27866.0
2013-11-01,1.725,23.0,23.0,2091.891,27241.0,27241.0
2013-12-01,3.526,47.0,47.0,2287.355,29787.0,29787.0
2014-01-01,1.19,12.0,12.0,2059.565,18722.0,28253.0
2014-02-01,3.289,34.0,41.0,1797.333,16338.0,24656.0
2014-03-01,2.246,23.0,23.0,1824.058,16581.0,25022.0
2014-04-01,0.795,8.0,12.0,1886.521,17149.0,25879.0
2014-05-01,1.441,15.0,18.0,2087.696,18978.0,28639.0
2014-06-01,2.024,21.0,23.0,2438.304,22165.0,33449.0
2014-07-01,0.875,9.0,12.0,2832.835,25751.0,38860.0
2014-08-01,1.023,10.0,12.0,3155.992,28689.0,43293.0
2014-09-01,2.101,22.0,23.0,2565.723,23323.0,35196.0
2014-10-01,1.218,12.0,12.0,2247.178,20427.0,30826.0
2014-11-01,1.313,13.0,18.0,1949.297,17720.0,26740.0
2014-12-01,1.485,15.0,18.0,2129.498,19358.0,29212.0
2015-01-01,0.916,9.0,18.0,2129.231,19670.0,28975.0
2015-02-01,0.941,10.0,18.0,1929.906,17829.0,26262.0
2015-03-01,1.909,20.0,35.0,2187.841,20211.0,29772.0
2015-04-01,1.441,15.0,23.0,2027.293,18728.0,27588.0
2015-05-01,3.124,32.0,59.0,2108.107,19475.0,28687.0
2015-06-01,1.881,19.0,35.0,2480.558,22916.0,33755.0
2015-07-01,1.413,14.0,23.0,2941.455,27173.0,40027.0
2015-08-01,1.277,13.0,23.0,3022.125,27919.0,41125.0
2015-09-01,1.329,14.0,23.0,2533.99,23409.0,34482.0
2015-10-01,1.645,17.0,29.0,2207.581,20394.0,30041.0
2015-11-01,0.605,6.0,12.0,1917.404,17713.0,26092.0
2015-12-01,1.519,16.0,29.0,2161.509,19968.0,29414.0
2016-01-01,1.305,15.0,18.0,2307.386,26626.0,30955.0
2016-02-01,1.415,16.0,18.0,2014.931,23251.0,27031.0
2016-03-01,1.499,17.0,18.0,2267.934,26171.0,30425.0
2016-04-01,2.357,27.0,29.0,2164.138,24973.0,29032.0
2016-05-01,3.486,40.0,41.0,2418.357,27906.0,32443.0
2016-06-01,1.501,17.0,18.0,2704.243,31205.0,36278.0
2016-07-01,1.266,14.0,18.0,3022.867,34882.0,40552.0
2016-08-01,1.881,21.0,23.0,3111.779,35908.0,41745.0
2016-09-01,1.616,18.0,18.0,2628.774,30334.0,35266.0
2016-10-01,1.199,12.0,12.0,2071.516,23904.0,27790.0
2016-11-01,1.401,16.0,18.0,1852.598,21378.0,24854.0
2016-12-01,2.074,23.0,23.0,1725.477,19911.0,23148.0
2017-01-01,1.331,12.0,12.0,1914.555,22266.0,25338.0
2017-02-01,1.384,16.0,18.0,1696.724,19733.0,22455.0
2017-03-01,2.19,25.0,29.0,1999.131,23250.0,26458.0
2017-04-01,1.467,17.0,18.0,1976.14,22982.0,26153.0
2017-05-01,2.085,23.0,23.0,2255.221,26228.0,29847.0
2017-06-01,1.398,16.0,18.0,2888.796,33596.0,38231.0
2017-07-01,1.787,20.0,23.0,3543.826,41214.0,46900.0
2017-08-01,2.447,28.0,29.0,3383.062,39345.0,44772.0
2017-09-01,0.93,11.0,12.0,2494.961,29016.0,33019.0
2017-10-01,1.419,16.0,18.0,2204.839,25642.0,29179.0
2017-11-01,1.333,15.0,18.0,1833.675,21326.0,24267.0
2017-12-01,1.229,14.0,18.0,2398.07,27889.0,31736.0
2018-01-01,0.832,9.0,12.0,2189.057,25439.0,30244.0
2018-02-01,1.288,6.0,6.0,1968.968,22881.0,27204.0
2018-03-01,1.262,14.0,18.0,1990.662,23133.0,27503.0
2018-04-01,3.354,38.0,47.0,1848.034,21476.0,25533.0
2018-05-01,3.333,38.0,47.0,2500.602,29059.0,34549.0
2018-06-01,1.795,20.0,23.0,2727.283,31694.0,37680.0
2018-07-01,1.043,12.0,12.0,3391.489,39412.0,46858.0
2018-08-01,1.202,14.0,18.0,3157.516,36693.0,43625.0
2018-09-01,0.797,9.0,12.0,2678.782,31130.0,37011.0
2018-10-01,1.418,16.0,18.0,2250.589,26154.0,31094.0
2018-11-01,1.561,18.0,23.0,1942.867,22578.0,26843.0
2018-12-01,1.115,13.0,18.0,2102.151,24429.0,29043.0
2019-01-01,1.19,12.0,12.0,2132.723,24654.0,29939.0
2019-02-01,2.121,18.0,18.0,1714.559,19820.0,24070.0
2019-03-01,1.387,12.0,12.0,1842.319,21297.0,25863.0
2019-04-01,3.3,29.0,29.0,1660.016,19189.0,23304.0
2019-05-01,3.605,29.0,29.0,2258.07,26102.0,31700.0
2019-06-01,2.268,18.0,18.0,2604.981,30113.0,36569.0
2019-07-01,1.295,12.0,12.0,2997.519,34650.0,42080.0
2019-08-01,1.265,12.0,12.0,3227.159,37305.0,45303.0
2019-09-01,1.026,6.0,6.0,2789.139,32241.0,39154.0
2019-10-01,1.324,12.0,12.0,2162.717,25000.0,30361.0
2019-11-01,3.42,29.0,29.0,1961.709,22677.0,27539.0
2019-12-01,0.799,6.0,6.0,2181.089,25213.0,30619.0
2020-01-01,1.18,13.0,18.0,2182.383,25480.0,31918.0
2020-02-01,2.623,29.0,29.0,2076.355,24242.0,30366.0
2020-03-01,1.173,12.0,12.0,2023.327,23623.0,29591.0
2020-04-01,1.689,18.0,18.0,1801.576,21034.0,26348.0
2020-05-01,1.863,21.0,23.0,2156.816,25181.0,31543.0
2020-06-01,1.629,18.0,18.0,2551.023,29784.0,37308.0
2020-07-01,1.336,15.0,18.0,3103.72,36237.0,45391.0
2020-08-01,0.993,11.0,12.0,3003.993,35072.0,43933.0
2020-09-01,1.714,19.0,23.0,2478.837,28941.0,36253.0
2020-10-01,1.219,14.0,18.0,2143.613,25027.0,31350.0
2020-11-01,1.144,12.0,12.0,1679.042,19603.0,24556.0
2020-12-01,1.437,16.0,18.0,1845.315,21545.0,26987.0
2021-01-01,1.491,17.0,18.0,1798.238,20753.0,25160.0
2021-02-01,2.394,23.0,23.0,1748.704,20182.0,24468.0
2021-03-01,1.185,12.0,12.0,1362.863,15729.0,19069.0
2021-04-01,1.148,12.0,12.0,1552.505,17917.0,21722.0
2021-05-01,2.911,29.0,29.0,1777.007,20508.0,24864.0
2021-06-01,1.203,12.0,12.0,2418.852,27916.0,33844.0
2021-07-01,1.16,12.0,12.0,2664.721,30753.0,37284.0
2021-08-01,0.657,6.0,6.0,2717.447,31362.0,38022.0
2021-09-01,0.997,11.0,12.0,2296.289,26501.0,32129.0
2021-10-01,1.434,12.0,12.0,1943.061,22425.0,27187.0
2021-11-01,1.969,18.0,18.0,1598.208,18445.0,22361.0
2021-12-01,1.451,12.0,12.0,1677.105,19355.0,23466.0
2022-01-01,3.2,18.0,18.0,2081.807,24448.0,26308.0
2022-02-01,1.471,17.0,18.0,1853.43,21766.0,23422.0
2022-03-01,2.065,23.0,23.0,1475.907,17332.0,18651.0
2022-04-01,1.566,18.0,18.0,1538.538,18068.0,19442.0
2022-05-01,2.659,29.0,29.0,2272.833,26691.0,28722.0
2022-06-01,2.255,23.0,23.0,2766.679,32491.0,34963.0
2022-07-01,2.088,23.0,23.0,3260.231,38287.0,41200.0
2022-08-01,1.023,12.0,12.0,3277.201,38486.0,41414.0
2022-09-01,2.85,29.0,29.0,2762.484,32441.0,34910.0
2022-10-01,2.38,23.0,23.0,2135.033,25073.0,26981.0
2022-11-01,2.933,29.0,29.0,2001.115,23500.0,25288.0
2022-12-01,3.51,35.0,35.0,2220.742,26079.0,28064.0
2023-01-01,1.463,17.0,18.0,1545.616,19578.0,27527.0
2023-02-01,0.67,6.0,6.0,1457.772,18466.0,25961.0
2023-03-01,1.324,15.0,18.0,1438.708,18224.0,25622.0
2023-04-01,2.926,33.0,35.0,1389.47,17600.0,24744.0
2023-05-01,1.665,19.0,23.0,1983.738,25128.0,35328.0
2023-06-01,1.292,15.0,18.0,2291.572,29027.0,40810.0
2023-07-01,1.456,17.0,18.0,2513.16,31834.0,44756.0
2023-08-01,1.904,22.0,23.0,2766.152,35039.0,49262.0
2023-09-01,1.877,21.0,23.0,2330.306,29518.0,41500.0
2023-10-01,0.898,10.0,12.0,1720.103,21789.0,30633.0
2023-11-01,1.502,17.0,18.0,1594.795,20201.0,28401.0
2023-12-01,2.023,23.0,23.0,1694.608,21466.0,30180.0
2024-01-01,4.217,47.0,47.0,2778.883,32480.0,38659.0
2024-02-01,0.937,11.0,12.0,1918.594,22425.0,26691.0
2024-03-01,0.967,11.0,12.0,2177.247,25448.0,30290.0
2024-04-01,1.324,15.0,18.0,2045.575,23909.0,28458.0
2024-05-01,1.879,21.0,23.0,2733.114,31945.0,38023.0
2024-06-01,1.493,17.0,18.0,3083.44,36039.0,42896.0
2024-07-01,1.305,15.0,18.0,3332.954,38956.0,46368.0
2024-08-01,1.219,12.0,12.0,3766.014,44017.0,52392.0
2024-09-01,1.257,14.0,18.0,3124.77,36523.0,43472.0
2024-10-01,1.23,12.0,12.0,2706.738,31637.0,37656.0
2024-11-01,1.007,11.0,12.0,2168.455,25345.0,30167.0
2024-12-01,1.165,12.0,12.0,2326.216,27189.0,32361.0
