measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-07-01,,,,16993.0,161915.0,161915.0,57218.0,717396.0,717396.0
2008-08-01,,,,44983.0,433054.0,433054.0,12676.0,150139.0,150139.0
2008-09-01,,,,33896.0,333845.0,333845.0,870.0,12579.0,12579.0
2008-10-01,,,,37745.0,362445.0,362445.0,0.0,0.0,0.0
2008-11-01,,,,12449.0,120894.0,120894.0,0.0,0.0,0.0
2008-12-01,,,,27796.0,267043.0,267043.0,0.0,0.0,0.0
2009-01-01,,,,21079.0,211005.0,211005.0,,,
2009-02-01,,,,25237.0,265488.0,265488.0,,,
2009-03-01,,,,21495.0,218969.0,218969.0,,,
2009-04-01,,,,39635.0,385503.0,385503.0,,,
2009-05-01,,,,40631.0,391362.0,391362.0,,,
2009-06-01,,,,52557.0,487096.0,487096.0,,,
2009-07-01,,,,61399.0,570663.0,570663.0,,,
2009-08-01,,,,59323.0,548981.0,548981.0,,,
2009-09-01,,,,32469.0,309068.0,309068.0,,,
2009-10-01,,,,20183.0,190397.0,190397.0,,,
2009-11-01,,,,10016.0,95790.0,95790.0,,,
2009-12-01,,,,18791.0,175179.0,175179.0,,,
2010-01-01,,,,23971.0,225813.0,225813.0,,,
2010-02-01,,,,18920.0,166911.0,166911.0,,,
2010-03-01,,,,6469.0,65232.0,65232.0,,,
2010-04-01,,,,3639.0,36600.0,36600.0,,,
2010-05-01,,,,7435.0,66337.0,66337.0,,,
2010-06-01,,,,10904.0,111970.0,111970.0,,,
2010-07-01,,,,15129.0,146422.0,146422.0,,,
2010-08-01,,,,18743.0,182209.0,182209.0,,,
2010-09-01,,,,11397.0,114631.0,114631.0,,,
2010-10-01,,,,2980.0,29976.0,29976.0,,,
2010-11-01,,,,6381.0,67642.0,67642.0,,,
2010-12-01,,,,2925.0,30703.0,30703.0,,,
2011-01-01,,,,5057.0,55436.0,55436.0,,,
2011-02-01,,,,13934.0,138677.0,138677.0,,,
2011-03-01,,,,1095.0,12586.0,12586.0,,,
2011-04-01,,,,4922.0,54097.0,54097.0,,,
2011-05-01,,,,6108.0,68673.0,68673.0,,,
2011-06-01,,,,2296.0,24951.0,24951.0,,,
2011-07-01,,,,6287.0,64554.0,64554.0,,,
2011-08-01,,,,32810.0,337729.0,337729.0,,,
2011-09-01,,,,15431.0,152855.0,152855.0,,,
2011-10-01,,,,3831.0,40123.0,40123.0,,,
2011-11-01,,,,4455.0,45741.0,45741.0,,,
2011-12-01,,,,3412.0,36614.0,36614.0,,,
2012-01-01,,,,7528.0,80133.0,80133.0,,,
2012-02-01,,,,4376.0,44508.0,44508.0,,,
2012-03-01,,,,3611.0,37713.0,37713.0,,,
2012-04-01,,,,24039.0,249921.0,249921.0,,,
2012-05-01,,,,17770.0,182525.0,182525.0,,,
2012-06-01,,,,22269.0,224157.0,224157.0,,,
2012-07-01,,,,20914.0,210420.0,210420.0,,,
2012-08-01,,,,33522.0,339309.0,339309.0,,,
2012-09-01,,,,25061.0,251411.0,251411.0,,,
2012-10-01,,,,12465.0,132404.0,132404.0,,,
2012-11-01,,,,15996.0,172537.0,172537.0,,,
2012-12-01,,,,8532.0,96180.0,96180.0,,,
2013-01-01,,,,9976.0,114672.0,114672.0,,,
2013-02-01,,,,7579.0,83765.0,83765.0,,,
2013-03-01,,,,7533.0,95459.0,95459.0,,,
2013-04-01,,,,12846.0,139276.0,139276.0,,,
2013-05-01,,,,24114.0,233606.0,233606.0,,,
2013-06-01,,,,22490.0,221068.0,221068.0,,,
2013-07-01,,,,27798.0,288077.0,288077.0,,,
2013-08-01,,,,36350.0,353363.0,353363.0,,,
2013-09-01,,,,29232.0,291932.0,291932.0,,,
2013-10-01,,,,6821.0,72037.0,72037.0,,,
2013-11-01,,,,9429.0,101951.0,101951.0,,,
2013-12-01,,,,9509.0,102628.0,102628.0,,,
2014-01-01,,,,14838.0,165069.0,165069.0,,,
2014-02-01,,,,24052.0,256891.0,256891.0,,,
2014-03-01,,,,14766.0,155646.0,155646.0,,,
2014-04-01,,,,9375.0,108969.0,108969.0,,,
2014-05-01,,,,6606.0,68438.0,68438.0,,,
2014-06-01,,,,16476.0,174972.0,174972.0,,,
2014-07-01,,,,18481.0,188284.0,188284.0,,,
2014-08-01,,,,20084.0,200330.0,200330.0,,,
2014-09-01,,,,1171.0,13601.0,13601.0,,,
2014-10-01,,,,4656.0,50895.0,50895.0,,,
2014-11-01,,,,2737.0,32277.0,32277.0,,,
2014-12-01,,,,2445.0,27405.0,27405.0,,,
2015-01-01,,,,2929.0,34036.0,34036.0,,,
2015-02-01,,,,4896.0,53109.0,53109.0,,,
2015-03-01,,,,5516.0,55050.0,55050.0,,,
2015-04-01,,,,5458.0,65972.0,65972.0,,,
2015-05-01,,,,4820.0,56988.0,56988.0,,,
2015-06-01,,,,3892.0,49578.0,49578.0,,,
2015-07-01,,,,9628.0,118430.0,118430.0,,,
2015-08-01,,,,10689.0,124106.0,124106.0,,,
2015-09-01,,,,13802.0,168347.0,168347.0,,,
2015-10-01,,,,10852.0,134533.0,134533.0,,,
2015-11-01,,,,8225.0,98128.0,98128.0,,,
2015-12-01,,,,7988.0,93206.0,93206.0,,,
2016-01-01,,,,7769.0,82940.0,82940.0,,,
2016-02-01,,,,10280.0,113843.0,113843.0,,,
2016-03-01,,,,21342.0,214469.0,214469.0,,,
2016-04-01,,,,34465.0,317810.0,317810.0,,,
2016-05-01,,,,21152.0,250613.0,250613.0,,,
2016-06-01,,,,39181.0,383587.0,383587.0,,,
2016-07-01,,,,29971.0,297001.0,297001.0,,,
2016-08-01,,,,27028.0,290242.0,290242.0,,,
2016-09-01,,,,19862.0,206292.0,206292.0,,,
2016-10-01,,,,10571.0,111204.0,111204.0,,,
2016-11-01,,,,8195.0,83084.0,83084.0,,,
2016-12-01,,,,4616.0,50270.0,50270.0,,,
2017-01-01,,,,7484.765,73991.0,73991.0,,,
2017-02-01,,,,6633.184,65573.0,65573.0,,,
2017-03-01,,,,7815.416,77260.0,77260.0,,,
2017-04-01,,,,7725.534,76372.0,76372.0,,,
2017-05-01,,,,8816.574,87157.0,87157.0,,,
2017-06-01,,,,11293.477,111642.0,111642.0,,,
2017-07-01,,,,13854.254,136958.0,136958.0,,,
2017-08-01,,,,13225.764,130744.0,130744.0,,,
2017-09-01,,,,9753.816,96423.0,96423.0,,,
2017-10-01,,,,8619.609,85210.0,85210.0,,,
2017-11-01,,,,7168.579,70866.0,70866.0,,,
2017-12-01,,,,9375.028,92677.0,92677.0,,,
2018-01-01,,,,13189.847,130836.0,130836.0,,,
2018-02-01,,,,11863.739,117683.0,117683.0,,,
2018-03-01,,,,11994.452,118979.0,118979.0,,,
2018-04-01,,,,11135.069,110454.0,110454.0,,,
2018-05-01,,,,15067.024,149458.0,149458.0,,,
2018-06-01,,,,16432.859,163005.0,163005.0,,,
2018-07-01,,,,20434.934,202705.0,202705.0,,,
2018-08-01,,,,19025.165,188720.0,188720.0,,,
2018-09-01,,,,16140.62,160106.0,160106.0,,,
2018-10-01,,,,13560.608,134515.0,134515.0,,,
2018-11-01,,,,11706.468,116122.0,116122.0,,,
2018-12-01,,,,12666.215,125643.0,125643.0,,,
2019-01-01,,,,8645.62,85054.0,85054.0,,,
2019-02-01,,,,6950.465,68377.0,68377.0,,,
2019-03-01,,,,7468.376,73472.0,73472.0,,,
2019-04-01,,,,6729.361,66201.0,66201.0,,,
2019-05-01,,,,9153.747,90052.0,90052.0,,,
2019-06-01,,,,10560.05,103887.0,103887.0,,,
2019-07-01,,,,12151.318,119541.0,119541.0,,,
2019-08-01,,,,13082.23,128700.0,128700.0,,,
2019-09-01,,,,11306.589,111231.0,111231.0,,,
2019-10-01,,,,8767.206,86249.0,86249.0,,,
2019-11-01,,,,7952.358,78233.0,78233.0,,,
2019-12-01,,,,8841.68,86981.0,86981.0,,,
2020-01-01,,,,6138.207,57518.0,57518.0,,,
2020-02-01,,,,5839.987,54724.0,54724.0,,,
2020-03-01,,,,5690.84,53326.0,53326.0,,,
2020-04-01,,,,5067.14,47482.0,47482.0,,,
2020-05-01,,,,6066.294,56845.0,56845.0,,,
2020-06-01,,,,7175.048,67234.0,67234.0,,,
2020-07-01,,,,8729.57,81801.0,81801.0,,,
2020-08-01,,,,8449.077,79173.0,79173.0,,,
2020-09-01,,,,6972.016,65332.0,65332.0,,,
2020-10-01,,,,6029.16,56497.0,56497.0,,,
2020-11-01,,,,4722.498,44252.0,44252.0,,,
2020-12-01,,,,5190.163,48635.0,48635.0,,,
2021-01-01,,,,3735.877,36114.0,36114.0,,,
2021-02-01,,,,23337.526,225596.0,225596.0,,,
2021-03-01,,,,2069.015,20001.0,20001.0,,,
2021-04-01,,,,23580.551,227945.0,227945.0,,,
2021-05-01,,,,5595.485,54089.0,54089.0,,,
2021-06-01,,,,11435.335,110542.0,110542.0,,,
2021-07-01,,,,10529.227,101783.0,101783.0,,,
2021-08-01,,,,5579.594,53936.0,53936.0,,,
2021-09-01,,,,4883.833,47210.0,47210.0,,,
2021-10-01,,,,8468.146,81858.0,81858.0,,,
2021-11-01,,,,2591.543,25052.0,25052.0,,,
2021-12-01,,,,40.87,396.0,396.0,,,
2022-01-01,,,,1164.124,11560.0,11560.0,,,
2022-02-01,,,,1120.894,11130.0,11130.0,,,
2022-03-01,,,,1335.431,13260.0,13260.0,,,
2022-04-01,,,,2507.283,24897.0,24897.0,,,
2022-05-01,,,,7443.043,73909.0,73909.0,,,
2022-06-01,,,,5252.199,52154.0,52154.0,,,
2022-07-01,,,,5158.664,51225.0,51225.0,,,
2022-08-01,,,,5271.407,52345.0,52345.0,,,
2022-09-01,,,,2177.359,21621.0,21621.0,,,
2022-10-01,,,,688.001,6832.0,6832.0,,,
2022-11-01,,,,644.656,6401.0,6401.0,,,
2022-12-01,,,,3329.94,33066.0,33066.0,,,
2023-01-01,,,,0.0,0.0,0.0,,,
2023-02-01,,,,520.223,5063.0,5063.0,,,
2023-03-01,,,,2168.513,21107.0,21107.0,,,
2023-04-01,,,,2803.838,27291.0,27291.0,,,
2023-05-01,,,,519.445,5056.0,5056.0,,,
2023-06-01,,,,2280.21,22194.0,22194.0,,,
2023-07-01,,,,2999.992,29201.0,29201.0,,,
2023-08-01,,,,11716.328,114041.0,114041.0,,,
2023-09-01,,,,14765.64,143720.0,143720.0,,,
2023-10-01,,,,2374.245,23109.0,23109.0,,,
2023-11-01,,,,1604.958,15622.0,15622.0,,,
2023-12-01,,,,298.609,2907.0,2907.0,,,
2024-01-01,,,,535.78,5062.0,5062.0,,,
2024-02-01,,,,181.213,1712.0,1712.0,,,
2024-03-01,,,,1843.62,17419.0,17419.0,,,
2024-04-01,,,,2722.617,25723.0,25723.0,,,
2024-05-01,,,,11082.992,104712.0,104712.0,,,
2024-06-01,,,,6682.234,63133.0,63133.0,,,
2024-07-01,,,,570.389,5389.0,5389.0,,,
2024-08-01,,,,7606.712,71868.0,71868.0,,,
2024-09-01,,,,2389.637,22577.0,22577.0,,,
2024-10-01,,,,12868.211,121578.0,121578.0,,,
2024-11-01,,,,5696.348,53819.0,53819.0,,,
2024-12-01,,,,206.246,1949.0,1949.0,,,
