measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2007-04-01,0.0,0.0,0.0,,,,21.433,287.0,287.0
2007-05-01,0.0,0.0,0.0,,,,32.777,439.0,439.0
2007-06-01,0.0,0.0,0.0,,,,49.702000000000005,665.0,665.0
2007-07-01,0.0,0.0,0.0,,,,47.01,629.0,629.0
2007-08-01,0.0,0.0,0.0,,,,68.83,922.0,922.0
2007-09-01,0.0,0.0,0.0,,,,36.752,492.0,492.0
2007-10-01,0.0,0.0,0.0,,,,18.655,250.0,250.0
2007-11-01,0.0,0.0,0.0,,,,16.711000000000002,224.0,224.0
2007-12-01,0.0,0.0,0.0,,,,12.592,169.0,169.0
2008-01-01,,,,0.0,0.0,0.0,2.462,34.0,34.0
2008-02-01,,,,0.0,0.0,0.0,1.9660000000000002,28.0,28.0
2008-03-01,,,,0.0,0.0,0.0,1.219,17.0,17.0
2008-04-01,,,,0.0,0.0,0.0,0.927,13.0,13.0
2008-05-01,,,,0.0,0.0,0.0,1.915,27.0,27.0
2008-06-01,,,,0.0,0.0,0.0,3.603,50.0,50.0
2008-07-01,,,,0.0,0.0,0.0,4.199,59.0,59.0
2008-08-01,,,,0.0,0.0,0.0,3.5330000000000004,49.0,49.0
2008-09-01,,,,0.0,0.0,0.0,1.487,21.0,21.0
2008-10-01,,,,0.0,0.0,0.0,2.422,34.0,34.0
2008-11-01,,,,0.0,0.0,0.0,1.617,23.0,23.0
2008-12-01,,,,0.0,0.0,0.0,1.6500000000000001,23.0,23.0
2009-01-01,,,,0.0,0.0,0.0,26.143,366.0,366.0
2009-02-01,,,,0.0,0.0,0.0,34.699000000000005,486.0,486.0
2009-03-01,,,,0.0,0.0,0.0,35.414,496.0,496.0
2009-04-01,,,,0.0,0.0,0.0,27.327,383.0,383.0
2009-05-01,,,,0.0,0.0,0.0,22.149,310.0,310.0
2009-06-01,,,,0.0,0.0,0.0,62.284000000000006,872.0,872.0
2009-07-01,,,,0.0,0.0,0.0,62.179,871.0,871.0
2009-08-01,,,,0.0,0.0,0.0,59.679,836.0,836.0
2009-09-01,,,,0.0,0.0,0.0,33.152,464.0,464.0
2009-10-01,,,,0.0,0.0,0.0,21.937,307.0,307.0
2009-11-01,,,,0.0,0.0,0.0,10.314,144.0,144.0
2009-12-01,,,,0.0,0.0,0.0,19.723000000000003,276.0,276.0
2010-01-01,,,,0.0,0.0,0.0,47.18,659.0,659.0
2010-02-01,,,,0.0,0.0,0.0,32.639,457.0,457.0
2010-03-01,,,,0.0,0.0,0.0,23.583000000000002,330.0,330.0
2010-04-01,,,,0.0,0.0,0.0,20.501,287.0,287.0
2010-05-01,,,,0.0,0.0,0.0,43.538000000000004,610.0,610.0
2010-06-01,,,,0.0,0.0,0.0,74.467,1043.0,1043.0
2010-07-01,,,,0.0,0.0,0.0,87.339,1223.0,1223.0
2010-08-01,,,,0.0,0.0,0.0,99.07000000000001,1387.0,1387.0
2010-09-01,,,,0.0,0.0,0.0,58.336000000000006,817.0,817.0
2010-10-01,,,,0.0,0.0,0.0,41.002,574.0,574.0
2010-11-01,,,,0.0,0.0,0.0,16.896,237.0,237.0
2010-12-01,,,,0.0,0.0,0.0,40.449000000000005,566.0,566.0
2011-01-01,,,,0.0,0.0,0.0,140.029,1959.0,1959.0
2011-02-01,,,,0.0,0.0,0.0,114.718,1606.0,1606.0
2011-03-01,,,,0.0,0.0,0.0,103.899,1455.0,1455.0
2011-04-01,,,,0.0,0.0,0.0,100.36,1405.0,1405.0
2011-05-01,,,,0.0,0.0,0.0,121.289,1698.0,1698.0
2011-06-01,,,,0.0,0.0,0.0,213.148,2984.0,2984.0
2011-07-01,,,,0.0,0.0,0.0,270.11,3782.0,3782.0
2011-08-01,,,,0.0,0.0,0.0,248.326,3477.0,3477.0
2011-09-01,,,,0.0,0.0,0.0,114.189,1599.0,1599.0
2011-10-01,,,,0.0,0.0,0.0,120.11,1682.0,1682.0
2011-11-01,,,,0.0,0.0,0.0,99.146,1388.0,1388.0
2011-12-01,,,,0.0,0.0,0.0,105.676,1479.0,1479.0
2012-01-01,,,,0.0,0.0,0.0,488.015,6828.0,6828.0
2012-02-01,,,,0.0,0.0,0.0,508.561,7116.0,7116.0
2012-03-01,,,,0.0,0.0,0.0,324.601,4542.0,4542.0
2012-04-01,,,,0.0,0.0,0.0,558.166,7811.0,7811.0
2012-05-01,,,,0.0,0.0,0.0,547.157,7657.0,7657.0
2012-06-01,,,,0.0,0.0,0.0,667.183,9336.0,9336.0
2012-07-01,,,,0.0,0.0,0.0,873.62,12225.0,12225.0
2012-08-01,,,,0.0,0.0,0.0,739.794,10352.0,10352.0
2012-09-01,,,,0.0,0.0,0.0,433.032,6060.0,6060.0
2012-10-01,,,,0.0,0.0,0.0,455.269,6371.0,6371.0
2012-11-01,,,,0.0,0.0,0.0,378.362,5295.0,5295.0
2012-12-01,,,,0.0,0.0,0.0,282.24,3949.0,3949.0
2013-01-01,,,,0.0,0.0,0.0,10.546,149.0,149.0
2013-02-01,,,,0.0,0.0,0.0,9.982,140.0,140.0
2013-03-01,,,,0.0,0.0,0.0,10.335,145.0,145.0
2013-04-01,,,,0.0,0.0,0.0,5.645,79.0,79.0
2013-05-01,,,,0.0,0.0,0.0,6.217,87.0,87.0
2013-06-01,,,,0.0,0.0,0.0,11.141,157.0,157.0
2013-07-01,,,,0.0,0.0,0.0,10.962,154.0,154.0
2013-08-01,,,,0.0,0.0,0.0,10.687,150.0,150.0
2013-09-01,,,,0.0,0.0,0.0,7.372,104.0,104.0
2013-10-01,,,,0.0,0.0,0.0,6.215,87.0,87.0
2013-11-01,,,,0.0,0.0,0.0,4.678,66.0,66.0
2013-12-01,,,,0.0,0.0,0.0,7.22,101.0,101.0
2014-01-01,,,,0.0,0.0,0.0,3.916,54.0,54.0
2014-02-01,,,,0.0,0.0,0.0,2.269,32.0,32.0
2014-03-01,,,,0.0,0.0,0.0,3.039,42.0,42.0
2014-04-01,,,,0.0,0.0,0.0,2.871,40.0,40.0
2014-05-01,,,,0.0,0.0,0.0,3.282,46.0,46.0
2014-06-01,,,,0.0,0.0,0.0,4.087,57.0,57.0
2014-07-01,,,,0.0,0.0,0.0,3.474,48.0,48.0
2014-08-01,,,,0.0,0.0,0.0,3.93,55.0,55.0
2014-09-01,,,,0.0,0.0,0.0,2.924,41.0,41.0
2014-10-01,,,,0.0,0.0,0.0,2.402,34.0,34.0
2014-11-01,,,,0.0,0.0,0.0,2.023,28.0,28.0
2014-12-01,,,,0.0,0.0,0.0,2.783,39.0,39.0
2015-01-01,,,,0.0,0.0,0.0,5.123,69.0,69.0
2015-02-01,,,,0.0,0.0,0.0,6.574,91.0,91.0
2015-03-01,,,,0.0,0.0,0.0,5.665,79.0,79.0
2015-04-01,,,,0.0,0.0,0.0,4.732,66.0,66.0
2015-05-01,,,,0.0,0.0,0.0,3.8,53.0,53.0
2015-06-01,,,,0.0,0.0,0.0,4.935,69.0,69.0
2015-07-01,,,,0.0,0.0,0.0,6.408,89.0,89.0
2015-08-01,,,,0.0,0.0,0.0,6.259,87.0,87.0
2015-09-01,,,,0.0,0.0,0.0,4.139,58.0,58.0
2015-10-01,,,,0.0,0.0,0.0,2.086,29.0,29.0
2015-11-01,,,,0.0,0.0,0.0,2.782,39.0,39.0
2015-12-01,,,,0.0,0.0,0.0,3.497,49.0,49.0
2016-01-01,,,,0.0,0.0,0.0,2.727,37.0,37.0
2016-02-01,,,,0.0,0.0,0.0,1.814,25.0,25.0
2016-03-01,,,,0.0,0.0,0.0,3.646,51.0,51.0
2016-04-01,,,,0.0,0.0,0.0,3.283,46.0,46.0
2016-05-01,,,,0.0,0.0,0.0,3.537,49.0,49.0
2016-06-01,,,,0.0,0.0,0.0,5.018,70.0,70.0
2016-07-01,,,,0.0,0.0,0.0,4.873,68.0,68.0
2016-08-01,,,,0.0,0.0,0.0,4.985,69.0,69.0
2016-09-01,,,,0.0,0.0,0.0,2.769,39.0,39.0
2016-10-01,,,,0.0,0.0,0.0,2.771,39.0,39.0
2016-11-01,,,,0.0,0.0,0.0,3.424,48.0,48.0
2016-12-01,,,,0.0,0.0,0.0,2.153,30.0,30.0
2017-01-01,,,,0.0,0.0,0.0,1.424,20.0,20.0
2017-02-01,,,,0.0,0.0,0.0,1.703,24.0,24.0
2017-03-01,,,,0.0,0.0,0.0,2.606,37.0,37.0
2017-04-01,,,,0.0,0.0,0.0,2.848,40.0,40.0
2017-05-01,,,,0.0,0.0,0.0,2.809,40.0,40.0
2017-06-01,,,,0.0,0.0,0.0,2.866,41.0,41.0
2017-07-01,,,,0.0,0.0,0.0,3.728,53.0,53.0
2017-08-01,,,,0.0,0.0,0.0,2.647,37.0,37.0
2017-09-01,,,,0.0,0.0,0.0,2.495,35.0,35.0
2017-10-01,,,,0.0,0.0,0.0,2.469,35.0,35.0
2017-11-01,,,,0.0,0.0,0.0,1.404,20.0,20.0
2017-12-01,,,,0.0,0.0,0.0,3.001,42.0,42.0
2018-01-01,,,,0.0,0.0,0.0,3.672,51.0,51.0
2018-02-01,,,,0.0,0.0,0.0,3.64,50.0,50.0
2018-03-01,,,,0.0,0.0,0.0,4.019,56.0,56.0
2018-04-01,,,,0.0,0.0,0.0,4.209,58.0,58.0
2018-05-01,,,,0.0,0.0,0.0,4.606,64.0,64.0
2018-06-01,,,,0.0,0.0,0.0,4.91,68.0,68.0
2018-07-01,,,,0.0,0.0,0.0,5.304,73.0,73.0
2018-08-01,,,,0.0,0.0,0.0,4.98,69.0,69.0
2018-09-01,,,,0.0,0.0,0.0,3.397,47.0,47.0
2018-10-01,,,,0.0,0.0,0.0,4.238,59.0,59.0
2018-11-01,,,,0.0,0.0,0.0,2.274,32.0,32.0
2018-12-01,,,,0.0,0.0,0.0,1.751,24.0,24.0
2019-01-01,,,,0.0,0.0,0.0,5.313,74.0,74.0
2019-02-01,,,,0.0,0.0,0.0,7.123,99.0,99.0
2019-03-01,,,,0.0,0.0,0.0,6.03,84.0,84.0
2019-04-01,,,,0.0,0.0,0.0,5.37,75.0,75.0
2019-05-01,,,,0.0,0.0,0.0,6.312,88.0,88.0
2019-06-01,,,,0.0,0.0,0.0,8.358,117.0,117.0
2019-07-01,,,,0.0,0.0,0.0,9.04,126.0,126.0
2019-08-01,,,,0.0,0.0,0.0,9.492,133.0,133.0
2019-09-01,,,,0.0,0.0,0.0,7.348,103.0,103.0
2019-10-01,,,,0.0,0.0,0.0,8.101,113.0,113.0
2019-11-01,,,,0.0,0.0,0.0,5.635,79.0,79.0
2019-12-01,,,,0.0,0.0,0.0,5.878,82.0,82.0
2020-01-01,,,,0.0,0.0,0.0,1.257,18.0,18.0
2020-02-01,,,,0.0,0.0,0.0,0.936,13.0,13.0
2020-03-01,,,,0.0,0.0,0.0,1.023,14.0,14.0
2020-04-01,,,,0.0,0.0,0.0,0.708,10.0,10.0
2020-05-01,,,,0.0,0.0,0.0,0.815,11.0,11.0
2020-06-01,,,,0.0,0.0,0.0,1.184,17.0,17.0
2020-07-01,,,,0.0,0.0,0.0,1.513,21.0,21.0
2020-08-01,,,,0.0,0.0,0.0,1.449,20.0,20.0
2020-09-01,,,,0.0,0.0,0.0,0.678,10.0,10.0
2020-10-01,,,,0.0,0.0,0.0,0.911,13.0,13.0
2020-11-01,,,,0.0,0.0,0.0,0.564,8.0,8.0
2020-12-01,,,,0.0,0.0,0.0,0.962,14.0,14.0
2021-01-01,,,,0.0,0.0,0.0,3.543,49.0,49.0
2021-02-01,,,,0.0,0.0,0.0,3.537,49.0,49.0
2021-03-01,,,,0.0,0.0,0.0,5.684,79.0,79.0
2021-04-01,,,,0.0,0.0,0.0,6.766,94.0,94.0
2021-05-01,,,,0.0,0.0,0.0,4.193,59.0,59.0
2021-06-01,,,,0.0,0.0,0.0,7.417,104.0,104.0
2021-07-01,,,,0.0,0.0,0.0,7.35,103.0,103.0
2021-08-01,,,,0.0,0.0,0.0,7.519,105.0,105.0
2021-09-01,,,,0.0,0.0,0.0,6.222,87.0,87.0
2021-10-01,,,,0.0,0.0,0.0,6.991,98.0,98.0
2021-11-01,,,,0.0,0.0,0.0,8.345,116.0,116.0
2021-12-01,,,,0.0,0.0,0.0,8.433,118.0,118.0
2022-01-01,,,,0.0,0.0,0.0,13.119,183.0,183.0
2022-02-01,,,,0.0,0.0,0.0,6.284,88.0,88.0
2022-03-01,,,,0.0,0.0,0.0,11.659,164.0,164.0
2022-04-01,,,,0.0,0.0,0.0,9.32,131.0,131.0
2022-05-01,,,,0.0,0.0,0.0,9.134,128.0,128.0
2022-06-01,,,,0.0,0.0,0.0,13.227,186.0,186.0
2022-07-01,,,,0.0,0.0,0.0,16.849,237.0,237.0
2022-08-01,,,,0.0,0.0,0.0,16.851,237.0,237.0
2022-09-01,,,,0.0,0.0,0.0,14.894,209.0,209.0
2022-10-01,,,,0.0,0.0,0.0,11.53,162.0,162.0
2022-11-01,,,,0.0,0.0,0.0,11.616,163.0,163.0
2022-12-01,,,,0.0,0.0,0.0,13.517,190.0,190.0
2023-01-01,,,,0.0,0.0,0.0,13.409,187.0,187.0
2023-02-01,,,,0.0,0.0,0.0,12.135,169.0,169.0
2023-03-01,,,,0.0,0.0,0.0,12.504,175.0,175.0
2023-04-01,,,,0.0,0.0,0.0,10.756,150.0,150.0
2023-05-01,,,,0.0,0.0,0.0,15.11,211.0,211.0
2023-06-01,,,,0.0,0.0,0.0,15.845,221.0,221.0
2023-07-01,,,,0.0,0.0,0.0,17.742,248.0,248.0
2023-08-01,,,,0.0,0.0,0.0,17.593,246.0,246.0
2023-09-01,,,,0.0,0.0,0.0,14.588,204.0,204.0
2023-10-01,,,,0.0,0.0,0.0,8.661,121.0,121.0
2023-11-01,,,,0.0,0.0,0.0,9.035,126.0,126.0
2023-12-01,,,,0.0,0.0,0.0,13.622,190.0,190.0
2024-01-01,,,,0.0,0.0,0.0,12.716,178.0,178.0
2024-02-01,,,,0.0,0.0,0.0,6.902,97.0,97.0
2024-03-01,,,,0.0,0.0,0.0,11.646,163.0,163.0
2024-04-01,,,,0.0,0.0,0.0,9.876,138.0,138.0
2024-05-01,,,,0.0,0.0,0.0,13.018,182.0,182.0
2024-06-01,,,,0.0,0.0,0.0,15.841,222.0,222.0
2024-07-01,,,,0.0,0.0,0.0,18.146,254.0,254.0
2024-08-01,,,,0.0,0.0,0.0,17.093,239.0,239.0
2024-09-01,,,,0.0,0.0,0.0,10.736,150.0,150.0
2024-10-01,,,,0.0,0.0,0.0,11.656,163.0,163.0
2024-11-01,,,,0.0,0.0,0.0,10.734,150.0,150.0
2024-12-01,,,,0.0,0.0,0.0,6.636,93.0,93.0
