measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed
2008-02-01,,,,2518.076,42066.0,42066.0
2008-03-01,,,,3128.406,52261.0,52261.0
2008-04-01,,,,4119.121,68812.0,68812.0
2008-05-01,,,,3533.0330000000004,59022.0,59022.0
2008-06-01,,,,3260.016,54460.0,54460.0
2008-07-01,,,,3063.152,51172.0,51172.0
2008-08-01,,,,3114.418,52028.0,52028.0
2008-09-01,,,,3354.1800000000003,56034.0,56034.0
2008-10-01,,,,3142.1420000000003,52491.0,52491.0
2008-11-01,,,,3241.697,54154.0,54154.0
2008-12-01,,,,2901.426,48470.0,48470.0
2009-01-01,,,,350.825,39436.0,39436.0
2009-02-01,,,,327.715,36837.0,36837.0
2009-03-01,,,,250.911,28204.0,28204.0
2009-04-01,,,,227.708,25596.0,25596.0
2009-05-01,,,,320.458,36022.0,36022.0
2009-06-01,,,,290.338,32636.0,32636.0
2009-07-01,,,,390.71200000000005,43918.0,43918.0
2009-08-01,,,,385.346,43315.0,43315.0
2009-09-01,,,,363.19300000000004,40826.0,40826.0
2009-10-01,,,,303.45300000000003,34111.0,34111.0
2009-11-01,,,,301.082,33844.0,33844.0
2009-12-01,,,,293.259,32965.0,32965.0
2010-01-01,,,,430.951,36311.0,36311.0
2010-02-01,,,,375.706,31656.0,31656.0
2010-03-01,,,,412.757,34778.0,34778.0
2010-04-01,,,,417.367,35166.0,35166.0
2010-05-01,,,,472.38800000000003,39802.0,39802.0
2010-06-01,,,,434.343,36597.0,36597.0
2010-07-01,,,,513.38,43256.0,43256.0
2010-08-01,,,,583.702,49182.0,49182.0
2010-09-01,,,,432.18600000000004,36415.0,36415.0
2010-10-01,,,,344.178,28999.0,28999.0
2010-11-01,,,,382.82300000000004,32256.0,32256.0
2010-12-01,,,,437.219,36839.0,36839.0
2011-01-01,,,,405.471,34187.0,34187.0
2011-02-01,,,,321.373,27096.0,27096.0
2011-03-01,,,,521.778,43994.0,43994.0
2011-04-01,,,,433.657,36563.0,36563.0
2011-05-01,,,,386.074,32551.0,32551.0
2011-06-01,,,,444.995,37519.0,37519.0
2011-07-01,,,,474.823,40035.0,40035.0
2011-08-01,,,,503.206,42428.0,42428.0
2011-09-01,,,,528.482,44559.0,44559.0
2011-10-01,,,,429.511,36214.0,36214.0
2011-11-01,,,,510.386,43033.0,43033.0
2011-12-01,,,,481.244,40576.0,40576.0
2012-01-01,,,,626.94,48762.0,48762.0
2012-02-01,,,,567.472,44137.0,44137.0
2012-03-01,,,,607.098,47219.0,47219.0
2012-04-01,,,,550.761,42837.0,42837.0
2012-05-01,,,,545.406,42420.0,42420.0
2012-06-01,,,,523.167,40691.0,40691.0
2012-07-01,,,,561.073,43639.0,43639.0
2012-08-01,,,,544.128,42321.0,42321.0
2012-09-01,,,,407.595,31702.0,31702.0
2012-10-01,,,,520.671,40497.0,40497.0
2012-11-01,,,,389.057,30260.0,30260.0
2012-12-01,,,,315.632,24549.0,24549.0
2013-01-01,,,,445.523,37650.0,37650.0
2013-02-01,,,,456.674,38593.0,38593.0
2013-03-01,,,,606.743,51276.0,51276.0
2013-04-01,,,,513.937,43433.0,43433.0
2013-05-01,,,,453.912,38359.0,38359.0
2013-06-01,,,,450.596,38079.0,38079.0
2013-07-01,,,,472.857,39961.0,39961.0
2013-08-01,,,,469.211,39653.0,39653.0
2013-09-01,,,,554.12,46828.0,46828.0
2013-10-01,,,,410.156,34662.0,34662.0
2013-11-01,,,,474.134,40069.0,40069.0
2013-12-01,,,,373.137,31534.0,31534.0
2014-01-01,,,,307.678,32521.0,32521.0
2014-02-01,,,,339.523,35887.0,35887.0
2014-03-01,,,,301.893,31909.0,31909.0
2014-04-01,,,,388.176,41029.0,41029.0
2014-05-01,,,,319.751,33797.0,33797.0
2014-06-01,,,,327.136,34577.0,34577.0
2014-07-01,,,,384.766,40669.0,40669.0
2014-08-01,,,,389.442,41163.0,41163.0
2014-09-01,,,,427.869,45224.0,45224.0
2014-10-01,,,,393.147,41554.0,41554.0
2014-11-01,,,,468.147,49482.0,49482.0
2014-12-01,,,,453.472,47930.0,47930.0
2015-01-01,,,,3610.016,55003.0,55003.0
2015-02-01,,,,2137.847,32573.0,32573.0
2015-03-01,,,,2184.505,33284.0,33284.0
2015-04-01,,,,2074.168,31603.0,31603.0
2015-05-01,,,,2535.072,38626.0,38626.0
2015-06-01,,,,2773.333,42255.0,42255.0
2015-07-01,,,,3159.975,48147.0,48147.0
2015-08-01,,,,2937.64,44759.0,44759.0
2015-09-01,,,,2559.076,38992.0,38992.0
2015-10-01,,,,1975.77,30103.0,30103.0
2015-11-01,,,,2199.621,33515.0,33515.0
2015-12-01,,,,2871.977,43758.0,43758.0
2016-01-01,,,,3056.084,48178.0,48178.0
2016-02-01,,,,2605.163,41069.0,41069.0
2016-03-01,,,,2181.944,34397.0,34397.0
2016-04-01,,,,2534.215,39951.0,39951.0
2016-05-01,,,,2618.113,41274.0,41274.0
2016-06-01,,,,2370.013,37362.0,37362.0
2016-07-01,,,,2390.532,37686.0,37686.0
2016-08-01,,,,2238.617,35291.0,35291.0
2016-09-01,,,,2102.701,33148.0,33148.0
2016-10-01,,,,2242.341,35350.0,35350.0
2016-11-01,,,,2175.05,34289.0,34289.0
2016-12-01,,,,2003.227,31580.0,31580.0
2017-01-01,,,,1625.865,26331.0,26331.0
2017-02-01,,,,1908.289,30903.0,30903.0
2017-03-01,,,,2181.075,35321.0,35321.0
2017-04-01,,,,2343.294,37948.0,37948.0
2017-05-01,,,,2608.62,42244.0,42244.0
2017-06-01,,,,2509.685,40642.0,40642.0
2017-07-01,,,,2307.127,37362.0,37362.0
2017-08-01,,,,2366.312,38321.0,38321.0
2017-09-01,,,,2603.403,42160.0,42160.0
2017-10-01,,,,2443.917,39577.0,39577.0
2017-11-01,,,,2444.235,39583.0,39583.0
2017-12-01,,,,2205.178,35711.0,35711.0
2018-01-01,,,,2205.947,35588.0,35588.0
2018-02-01,,,,2746.011,44302.0,44302.0
2018-03-01,,,,2332.241,37626.0,37626.0
2018-04-01,,,,2206.454,35597.0,35597.0
2018-05-01,,,,2737.467,44164.0,44164.0
2018-06-01,,,,2480.8,40022.0,40022.0
2018-07-01,,,,2323.834,37490.0,37490.0
2018-08-01,,,,2448.127,39496.0,39496.0
2018-09-01,,,,2076.913,33506.0,33506.0
2018-10-01,,,,1877.464,30289.0,30289.0
2018-11-01,,,,1895.317,30577.0,30577.0
2018-12-01,,,,1953.425,31515.0,31515.0
2019-01-01,,,,1862.101,28854.0,28854.0
2019-02-01,,,,2121.3,32870.0,32870.0
2019-03-01,,,,2806.56,43489.0,43489.0
2019-04-01,,,,2393.157,37082.0,37082.0
2019-05-01,,,,3107.31,48149.0,48149.0
2019-06-01,,,,2373.204,36774.0,36774.0
2019-07-01,,,,3144.406,48723.0,48723.0
2019-08-01,,,,2162.778,33512.0,33512.0
2019-09-01,,,,2381.2,36897.0,36897.0
2019-10-01,,,,2290.758,35496.0,35496.0
2019-11-01,,,,2018.972,31285.0,31285.0
2019-12-01,,,,1893.254,29337.0,29337.0
2020-01-01,,,,2376.414,36150.0,36150.0
2020-02-01,,,,3651.137,55540.0,55540.0
2020-03-01,,,,3344.8,50880.0,50880.0
2020-04-01,,,,2245.407,34157.0,34157.0
2020-05-01,,,,3180.622,48383.0,48383.0
2020-06-01,,,,2837.112,43157.0,43157.0
2020-07-01,,,,3917.099,59586.0,59586.0
2020-08-01,,,,3880.398,59027.0,59027.0
2020-09-01,,,,2978.202,45303.0,45303.0
2020-10-01,,,,2871.659,43683.0,43683.0
2020-11-01,,,,2450.07,37270.0,37270.0
2020-12-01,,,,2252.08,34258.0,34258.0
2021-01-01,3136.187,56785.0,56785.0,,,
2021-02-01,2659.585,48156.0,48156.0,,,
2021-03-01,2859.567,51778.0,51778.0,,,
2021-04-01,2537.391,45944.0,45944.0,,,
2021-05-01,2651.9,48017.0,48017.0,,,
2021-06-01,3626.322,65662.0,65662.0,,,
2021-07-01,5004.256,90611.0,90611.0,,,
2021-08-01,4569.054,82731.0,82731.0,,,
2021-09-01,3887.726,70394.0,70394.0,,,
2021-10-01,3706.197,67108.0,67108.0,,,
2021-11-01,3406.178,61675.0,61675.0,,,
2021-12-01,3515.637,63658.0,63658.0,,,
2022-01-01,3398.495,54594.0,54594.0,,,
2022-02-01,2821.656,45327.0,45327.0,,,
2022-03-01,2610.781,41939.0,41939.0,,,
2022-04-01,2674.313,42960.0,42960.0,,,
2022-05-01,2454.136,39423.0,39423.0,,,
2022-06-01,3337.79,53618.0,53618.0,,,
2022-07-01,4458.951,71628.0,71628.0,,,
2022-08-01,5380.318,86428.0,86428.0,,,
2022-09-01,4931.047,79212.0,79212.0,,,
2022-10-01,4528.409,72744.0,72744.0,,,
2022-11-01,4158.564,66802.0,66802.0,,,
2022-12-01,4596.54,73839.0,73839.0,,,
2023-01-01,4098.542,67135.0,67135.0,,,
2023-02-01,3491.162,57185.0,57185.0,,,
2023-03-01,3355.455,54962.0,54962.0,,,
2023-04-01,2621.312,42937.0,42937.0,,,
2023-05-01,1697.81,27810.0,27810.0,,,
2023-06-01,2233.53,36585.0,36585.0,,,
2023-07-01,5170.187,84688.0,84688.0,,,
2023-08-01,5216.822,85451.0,85451.0,,,
2023-09-01,3692.611,60485.0,60485.0,,,
2023-10-01,4509.363,73863.0,73863.0,,,
2023-11-01,4236.041,69386.0,69386.0,,,
2023-12-01,4769.165,78119.0,78119.0,,,
2024-01-01,4443.97,74903.0,74903.0,,,
2024-02-01,3014.43,50808.0,50808.0,,,
2024-03-01,2157.637,36366.0,36366.0,,,
2024-04-01,1836.712,30957.0,30957.0,,,
2024-05-01,1652.602,27854.0,27854.0,,,
2024-06-01,2542.476,42853.0,42853.0,,,
2024-07-01,4884.629,82330.0,82330.0,,,
2024-08-01,4242.815,71512.0,71512.0,,,
2024-09-01,3737.134,62989.0,62989.0,,,
2024-10-01,3915.387,65993.0,65993.0,,,
2024-11-01,3152.917,53142.0,53142.0,,,
2024-12-01,3460.291,58322.0,58322.0,,,
