measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2002-02-01,4296.0,25501.0,229212.0,1687.0,10012.0,89999.0,,,,1249.0,12706.08,12706.08,489.0,2904.0,26100.0,,,,,,,,,,77.0,458.0,4114.0,2549.0,15130.0,135999.0
2002-03-01,4917.0,31893.0,261895.0,1632.0,10581.0,86895.0,,,,1440.0,14649.12,14649.12,965.0,6260.0,51400.0,,,,,,,,,,0.0,0.0,0.0,2556.0,16576.0,136116.0
2002-04-01,2888.0,32487.0,197905.0,737.0,8287.0,50480.0,,,,1497.0,15228.98,15228.98,719.0,8093.0,49300.0,,,,,,,,,,2.0,22.0,132.0,2505.0,28178.0,171648.0
2002-05-01,4144.0,29198.0,220080.0,1849.0,13031.0,98223.0,,,,1846.0,18779.36,18779.36,970.0,6833.0,51500.0,,,,,,,,,,0.0,0.0,0.0,2799.0,19727.0,148689.0
2002-06-01,3752.0,26277.0,208176.0,1628.0,11403.0,90341.0,,,,1719.0,17487.39,17487.39,1170.0,8193.0,64900.0,,,,,,,,,,0.0,0.0,0.0,2108.0,14766.0,116973.0
2002-07-01,4383.0,31199.0,228468.0,1788.0,12725.0,93185.0,,,,1495.0,15208.64,15208.64,497.0,3538.0,25900.0,,,,,,,,,,0.0,0.0,0.0,2424.0,17253.0,126342.0
2002-08-01,4549.0,32515.0,236807.0,1759.0,12569.0,91544.0,,,,1324.0,13469.05,13469.05,330.0,2362.0,17201.0,,,,,,,,,,0.0,0.0,0.0,2585.0,18478.0,134577.0
2002-09-01,2019.0,22753.0,252206.0,5543.0,62466.0,692411.0,,,,1463.0,14883.1,14883.1,3.0,34.0,375.0,,,,,,,,,,0.0,0.0,0.0,1462.0,16476.0,182628.0
2002-10-01,2430.0,27385.0,303547.0,5500.0,61982.0,687040.0,,,,1962.0,19959.43,19959.43,3.0,34.0,375.0,,,,,,,,,,2.0,23.0,250.0,1705.0,19214.0,212982.0
2002-11-01,4988.0,56212.0,623082.0,1520.0,30146.0,84146.0,,,,1841.0,18728.49,18728.49,541.0,6097.0,67580.0,,,,,,,,,,38.0,428.0,4746.0,2402.0,16747.0,118269.0
2002-12-01,1590.0,17918.0,198617.0,561.0,6322.0,70078.0,,,,1514.0,15401.92,15401.92,427.0,4812.0,53339.0,,,,,,,,,,0.0,0.0,0.0,7001.0,78897.0,874539.0
2003-01-01,,,,,,,,,,1111.1870000000001,11379.67,11379.67,38.1,211.0,398.0,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,1065.343,10910.18,10910.18,36.528,202.0,381.0,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,1076.443,11023.85,11023.85,36.908,205.0,385.0,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,984.0830000000001,10077.99,10077.99,33.742000000000004,187.0,352.0,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,1001.663,10258.03,10258.03,34.344,190.0,358.0,,,,,,,,,,,,,,,
2003-06-01,,,,,,,,,,1046.663,10718.88,10718.88,35.887,199.0,375.0,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,1211.779,12409.83,12409.83,41.549,230.0,434.0,,,,,,,,,,,,,,,
2003-08-01,,,,,,,,,,1296.69,13279.4,13279.4,44.46,246.0,464.0,,,,,,,,,,,,,,,
2003-09-01,,,,,,,,,,1105.751,11324.0,11324.0,37.913000000000004,210.0,396.0,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,1077.0040000000001,11029.6,11029.6,36.928000000000004,205.0,385.0,,,,,,,,,,,,,,,
2003-11-01,,,,,,,,,,1082.93,11090.29,11090.29,37.131,206.0,388.0,,,,,,,,,,,,,,,
2003-12-01,,,,,,,,,,1181.4640000000002,12099.37,12099.37,40.509,224.0,423.0,,,,,,,,,,,,,,,
2004-01-01,5454.41113,25503.69,269965.56,1643.16958,7683.12,81328.52,,,,1096.673,10990.86,10990.86,1794.89028,8392.53,88837.92,27.44296,128.32,1358.29,,,,3.86706,18.08,191.4,86.37125999999999,403.85,4274.94,2722.66572,12730.62,134758.08
2004-02-01,5321.65259,24882.93,263338.53,1661.93754,7770.87,82239.9,,,,1096.673,10990.86,10990.86,872.95086,4081.74,43197.41,27.448809999999998,128.34,1358.29,,,,3.8678899999999996,18.09,191.4,112.59873,526.49,5571.88,2567.17157,12003.56,127034.82
2004-03-01,5545.14086,25927.91,274394.22,1630.31328,7623.0,80673.97,,,,1096.673,10990.86,10990.86,872.6780200000001,4080.46,43183.36,27.44916,128.35,1358.29,,,,3.86794,18.09,191.4,123.52799,577.59,6112.63,2938.46075,13739.62,145405.98
2004-04-01,3587.32746,16773.59,177535.91,1405.13028,6570.09,69539.54,,,,1096.673,10990.86,10990.86,994.186,4648.61,49202.01,27.445819999999998,128.33,1358.29,,,,3.86747,18.08,191.4,62.13409,290.53,3075.0,2416.15888,11297.45,119575.08
2004-05-01,3036.69521,14198.95,150260.31,1654.82518,7737.62,81883.27,,,,1096.673,10990.86,10990.86,541.22472,2530.65,26780.62,27.45038,128.35,1358.29,,,,3.8681099999999997,18.09,191.4,148.77017,695.62,7361.38,2908.92022,13601.5,143937.81
2004-06-01,2776.86702,12984.05,137401.29,2110.74062,9869.38,104440.9,,,,1096.673,10990.86,10990.86,491.6917,2299.05,24329.24,27.45085,128.35,1358.29,,,,3.8681799999999997,18.09,191.4,126.92578,593.48,6280.38,2412.27386,11279.29,119360.97
2004-07-01,5395.32735,25227.42,266941.16,1646.64541,7699.37,81470.02,,,,1096.673,10990.86,10990.86,360.15945999999997,1684.03,17819.38,27.453249999999997,128.37,1358.29,,,,3.8685099999999997,18.09,191.4,110.05508,514.59,5445.13,5148.42594,24072.96,254725.38
2004-08-01,5450.64391,25486.07,269688.37,2052.80157,9598.47,101569.05,,,,1096.673,10990.86,10990.86,476.46589,2227.85,23574.7,27.452189999999998,128.36,1358.29,,,,3.8683699999999996,18.09,191.4,86.60117,404.93,4284.88,3043.57491,14231.12,150590.79
2004-09-01,4213.91807,19703.4,208502.6,2063.28912,9647.51,102090.54,,,,1096.673,10990.86,10990.86,496.03758,2319.37,24543.7,27.451500000000003,128.36,1358.29,,,,3.86827,18.09,191.4,11.68539,54.64,578.19,3011.94307,14083.22,149029.47
2004-10-01,4327.51945,20234.57,214104.08,1769.93946,8275.87,87567.78,,,,1096.673,10990.86,10990.86,179.26388,838.2,8869.08,27.454,128.37,1358.29,,,,3.86862,18.09,191.4,14.49216,67.76,717.0,3163.14943,14790.22,156496.86
2004-11-01,4178.37573,19537.21,206731.44,1865.73313,8723.78,92309.96,,,,1096.673,10990.86,10990.86,287.44918,1344.05,14221.98,27.45317,128.37,1358.29,,,,3.8685,18.09,191.4,35.283159999999995,164.98,1745.69,3269.42614,15287.15,161759.79
2004-12-01,4647.3493,21730.03,229942.52,1751.60805,8190.15,86666.43,,,,1096.673,10990.86,10990.86,440.10650000000004,2057.85,21775.68,27.45222,128.36,1358.29,,,,3.8683699999999996,18.09,191.4,81.02936,378.88,4009.19,3720.96721,17398.46,184106.79
2005-01-01,4642.7205,21708.39,216310.83,1800.75185,8419.94,83899.54,,,,1097.924,10978.14,10978.14,323.21487,1511.29,15059.03,264.4543,1236.53,12321.29,47.91283,224.03,2232.33,,,,34.23245,160.06,1594.94,2752.40419,12869.67,128238.35
2005-02-01,4215.35493,19710.12,196400.16,1671.19491,7814.16,77863.66,,,,958.2560000000001,9581.6,9581.6,286.53703,1339.79,13350.22,235.91289,1103.08,10991.56,42.74228,199.85,1991.43,,,,13.975869999999999,65.35,651.16,2554.37908,11943.74,119012.63
2005-03-01,4518.594700000001,21128.0,210528.41,1806.83131,8448.36,84183.1,,,,929.4670000000001,9293.74,9293.74,341.93206,1598.8,15931.15,269.44547,1259.87,12553.89,48.81661,228.26,2274.44,,,,19.233719999999998,89.93,896.13,2761.69714,12913.12,128671.8
2005-04-01,3717.36565,17381.62,173198.29,1553.46688,7263.69,72378.62,,,,1003.775,10036.75,10036.75,350.56335,1639.16,16333.33,268.88785,1257.26,12527.94,48.71515,227.78,2269.72,,,,11.10437,51.92,517.37,2374.43475,11102.36,110628.89
2005-05-01,3531.57972,16512.92,164542.78,1723.98688,8061.0,80323.71,,,,1174.509,11743.91,11743.91,284.39,1329.75,13250.25,295.60212,1382.17,13772.65,53.55509,250.41,2495.23,,,,4.5602599999999995,21.32,212.47,2635.07193,12321.04,122772.84
2005-06-01,4526.77748,21166.26,210909.23,1669.07562,7804.25,77764.69,,,,1081.501,10813.93,10813.93,483.835,2262.31,22542.59,292.85843,1369.34,13644.71,53.05858,248.09,2472.08,,,,25.5694,119.56,1191.32,2551.14048,11928.6,118861.39
2005-07-01,5050.56525,23615.38,235313.07,1848.50989,8643.24,86124.72,,,,1007.892,10077.92,10077.92,623.48989,2915.31,29049.29,303.23961,1417.88,14128.37,54.94009,256.89,2559.74,,,,31.16687,145.73,1452.11,2825.40339,13210.99,131639.59
2005-08-01,5002.51021,23390.69,233073.89,1903.1818,8898.88,88671.88,,,,708.0880000000001,7080.17,7080.17,666.60466,3116.9,31058.04,301.86924,1411.48,14064.51,54.69168,255.73,2548.16,,,,36.67913,171.5,1708.93,2908.96928,13601.73,135532.91
2005-09-01,4506.48451,21071.38,209963.79,1791.56687,8376.99,83471.75,,,,603.269,6032.09,6032.09,440.96433,2061.86,20545.18,284.35833,1329.6,13248.68,51.51875,240.89,2400.33,,,,28.642809999999997,133.93,1334.51,2738.36439,12804.02,127584.45
2005-10-01,4220.12336,19732.42,196621.78,1707.66901,7984.7,79562.82,,,,700.837,7007.67,7007.67,304.9497,1425.88,14208.06,287.03859,1342.13,13373.55,52.004239999999996,243.16,2422.95,,,,26.24073,122.7,1222.59,2610.13138,12204.43,121609.87
2005-11-01,4144.30178,19377.89,193089.92,1739.15068,8131.91,81029.92,,,,735.3670000000001,7352.94,7352.94,273.72569,1279.88,12753.34,289.09523,1351.75,13469.43,52.37672,244.9,2440.32,,,,12.124469999999999,56.69,564.9,2658.24943,12429.42,123852.26
2005-12-01,4780.40977,22352.19,222725.83,1878.82755,8785.0,87537.15,,,,864.364,8642.78,8642.78,295.74456,1382.84,13779.14,289.74177,1354.77,13499.47,52.49312,245.45,2445.73,,,,36.013059999999996,168.39,1677.9,2871.74317,13427.67,133798.44
2006-01-01,3557.09763,16632.24,214246.66,1344.52115,6286.7,80981.52,,,,1450.225,14385.0,14385.0,159.63238,746.41,9614.78,244.64324,1143.9,14735.05,53.00593,247.84,3192.59,,,,0.71626,3.35,43.14,2244.22641,10493.53,135171.44
2006-02-01,3344.46726,15638.02,201439.78,1220.60667,5707.3,73518.06,,,,1148.823,11395.0,11395.0,159.16693,744.23,9586.74,219.10446,1024.49,13196.83,47.47273,221.97,2859.32,,,,0.66031,3.09,39.77,2037.39264,9526.42,122713.69
2006-03-01,3265.93193,15270.81,196709.46,1322.02064,6181.49,79626.26,,,,877.964,8709.0,8709.0,173.64263,811.92,10458.62,196.70711,919.76,11847.81,42.61926,199.28,2566.99,,,,0.62673,2.93,37.75,2206.66869,10317.92,132909.26
2006-04-01,3269.03663,15285.33,196896.91,1221.91619,5713.42,73597.07,,,,768.263,7620.0,7620.0,145.9921,682.63,8793.23,178.83848999999998,836.21,10771.6,38.747749999999996,181.18,2333.81,,,,0.48124,2.25,28.99,2039.5766,9536.63,122845.46
2006-05-01,3438.03176,16075.52,207075.76,1218.99018,5699.74,73420.88,,,,755.414,7493.0,7493.0,141.62237,662.2,8530.04,208.13257,973.18,12536.01,45.09498,210.85,2716.11,,,,0.43646999999999997,2.04,26.29,2034.69267,9513.8,122551.38
2006-06-01,3517.02346,16444.87,211833.44,1216.9338,5690.13,73297.0,,,,740.599,7346.0,7346.0,181.16248000000002,847.08,10911.58,141.55557,661.88,8526.02,30.67023,143.41,1847.3,,,,0.42425999999999997,1.98,25.55,2031.25918,9497.74,122344.54
2006-07-01,3693.34044,17269.29,222453.04,1307.66507,6114.37,78761.78,,,,879.767,8726.0,8726.0,271.30242,1268.55,16340.78,187.75608,877.91,11308.71,40.680879999999995,190.22,2450.24,,,,0.50566,2.36,30.46,2182.70545,10205.88,131466.21
2006-08-01,3691.72462,17261.73,222355.86,1384.71401,6474.63,83402.56,,,,722.994,7171.0,7171.0,255.42367,1194.31,15384.4,184.55091,862.92,11115.67,39.98565,186.96,2408.37,,,,0.4324,2.02,26.04,2311.31374,10807.22,139212.49
2006-09-01,3334.01798,15589.17,200810.79,1295.7756000000002,6058.77,78045.69,,,,805.068,7985.0,7985.0,181.1722,847.12,10912.16,171.61683,802.44,10336.63,37.18419,173.87,2239.64,,,,0.45275,2.12,27.27,2162.85944,10113.08,130270.9
2006-10-01,3264.19668,15262.7,196605.38,1345.65637,6292.01,81050.04,,,,1108.47,10995.0,10995.0,202.05157,944.75,12169.74,196.66082999999998,919.54,11845.05,42.610119999999995,199.24,2566.44,,,,0.42833,2.0,25.8,2246.12009,10502.39,135285.75
2006-11-01,3309.32521,15473.71,199323.4,1315.90883,6152.91,79258.28,,,,1448.093,14364.0,14364.0,173.79138,812.61,10467.6,216.00961,1010.02,13010.44,46.80202,218.84,2818.92,,,,0.52499,2.45,31.62,2196.46795,10270.22,132295.09
2006-12-01,3527.26545,16492.75,212449.69,1364.06148,6378.07,82158.38,,,,1084.231,10754.0,10754.0,169.81925,794.04,10228.33,221.53352,1035.84,13343.12,47.9987,224.43,2891.0,,,,0.7213499999999999,3.37,43.45,2276.84125,10646.03,137135.75
2007-01-01,3734.35,17468.0,233277.0,1468.851,6863.0,91756.0,,,,964.422,9532.0,9532.0,159.75900000000001,747.0,9980.0,296.57800000000003,1387.0,18527.0,37.974000000000004,180.0,2372.0,,,,0.0,0.0,0.0,2727.2,12754.0,170363.0
2007-02-01,3489.369,16303.0,205560.0,1415.7640000000001,6617.0,83403.0,,,,819.98,8105.0,8105.0,294.51300000000003,1377.0,17350.0,288.98900000000003,1352.0,17024.0,33.357,157.0,1965.0,,,,0.0,0.0,0.0,2444.657,11434.0,144016.0
2007-03-01,3798.4320000000002,17760.0,225701.0,1517.518,7092.0,90170.0,,,,1001.437,9898.0,9898.0,64.768,303.0,3849.0,327.125,1530.0,19438.0,31.38,148.0,1865.0,,,,0.0,0.0,0.0,2620.1890000000003,12255.0,155690.0
2007-04-01,2487.931,11627.0,160833.0,847.8570000000001,3965.0,54810.0,,,,1067.02,10546.0,10546.0,606.668,2836.0,39218.0,203.281,951.0,13141.0,22.233,101.0,1437.0,,,,7.204000000000001,31.0,466.0,1694.1770000000001,7922.0,109521.0
2007-05-01,2501.8830000000003,11699.0,187951.0,1175.979,5504.0,88344.0,,,,1005.058,9934.0,9934.0,12.524000000000001,58.0,941.0,218.851,1023.0,16441.0,31.232000000000003,148.0,2346.0,,,,0.48900000000000005,0.0,37.0,1637.425,7658.0,123010.0
2007-06-01,3878.7160000000003,18147.0,235376.0,1336.0510000000002,6241.0,81077.0,,,,852.167,8423.0,8423.0,508.88800000000003,2379.0,30881.0,270.93100000000004,1267.0,16441.0,41.761,196.0,2534.0,,,,5.15,25.0,313.0,1252.941,5857.0,76033.0
2007-07-01,3294.1870000000004,15404.0,196117.0,1329.705,6216.0,79163.0,,,,658.639,6510.0,6510.0,26.838,125.0,1598.0,286.635,1340.0,17065.0,46.962,221.0,2796.0,,,,6.588,31.0,392.0,2365.944,11060.0,140855.0
2007-08-01,3414.0370000000003,15976.0,190111.0,1432.403,6692.0,79764.0,,,,654.2130000000001,6466.0,6466.0,15.076,70.0,840.0,292.581,1368.0,16292.0,43.316,200.0,2412.0,,,,0.0,0.0,0.0,2478.265,11589.0,138003.0
2007-09-01,3557.695,16645.0,199610.0,1353.6480000000001,6329.0,75949.0,,,,548.397,5420.0,5420.0,18.52,86.0,1039.0,204.169,954.0,11455.0,43.845,208.0,2460.0,,,,5.898000000000001,31.0,331.0,2329.6110000000003,10895.0,130707.0
2007-10-01,4016.1730000000002,18788.0,232853.0,1376.355,6436.0,79799.0,,,,942.293,9314.0,9314.0,44.529,209.0,2582.0,256.952,1201.0,14898.0,52.761,248.0,3059.0,,,,0.8460000000000001,6.0,49.0,2510.004,11736.0,145527.0
2007-11-01,4066.155,19001.0,228177.0,1289.202,6026.0,72345.0,,,,686.4010000000001,6784.0,6784.0,78.412,367.0,4400.0,268.42400000000004,1255.0,15063.0,48.08,221.0,2698.0,,,,1.201,6.0,67.0,2775.99,12981.0,155778.0
2007-12-01,5140.986,24033.0,290773.0,1442.515,6746.0,81588.0,,,,743.534,7349.0,7349.0,74.835,350.0,4233.0,282.322,1320.0,15968.0,31.244,150.0,1767.0,,,,0.108,0.0,6.0,2421.6440000000002,11326.0,136968.0
2008-01-01,4685.277,21907.0,271885.0,1463.246,6842.0,84912.0,,,,1121.477,11051.0,11051.0,60.962,285.0,3538.0,303.177,1418.0,17593.0,48.261,226.0,2801.0,,,,0.0,0.0,0.0,2812.5640000000003,13151.0,163212.0
2008-02-01,4402.075,20583.0,252092.0,1440.5990000000002,6736.0,82498.0,,,,541.705,5338.0,5338.0,36.693000000000005,172.0,2101.0,277.841,1299.0,15911.0,46.838,219.0,2682.0,,,,0.0,0.0,0.0,2772.84,12965.0,158791.0
2008-03-01,4389.293000000001,20523.0,250182.0,1512.507,7072.0,86210.0,,,,271.952,2680.0,2680.0,23.615000000000002,110.0,1346.0,320.63100000000003,1499.0,18275.0,48.027,225.0,2737.0,,,,0.108,1.0,6.0,3143.647,14699.0,179182.0
2008-04-01,3669.1820000000002,17156.0,215556.0,1425.553,6666.0,83748.0,,,,893.26,8802.0,8802.0,231.869,1084.0,13622.0,296.16200000000003,1385.0,17399.0,33.617000000000004,157.0,1975.0,,,,0.0,0.0,0.0,2603.157,12172.0,152929.0
2008-05-01,2727.8450000000003,12755.0,160432.0,784.063,3666.0,46113.0,,,,881.2710000000001,8684.0,8684.0,747.86,3497.0,43984.0,207.32600000000002,969.0,12193.0,41.575,194.0,2445.0,,,,7.815,37.0,460.0,1953.058,9132.0,114864.0
2008-06-01,2847.8790000000004,13316.0,169859.0,1360.2820000000002,6360.0,81133.0,,,,1125.201,11088.0,11088.0,434.58700000000005,2032.0,25921.0,278.345,1301.0,16602.0,41.784,195.0,2492.0,,,,0.0,0.0,0.0,2312.356,10812.0,137918.0
2008-07-01,3116.253,14571.0,185075.0,1415.712,6620.0,84079.0,,,,1331.9450000000002,13125.0,13125.0,11.197000000000001,52.0,665.0,284.644,1331.0,16905.0,29.295,137.0,1740.0,,,,0.10300000000000001,0.0,6.0,2515.98,11764.0,149424.0
2008-08-01,3269.143,15286.0,189071.0,1284.66,6007.0,74298.0,,,,1024.6860000000001,10097.0,10097.0,54.976,257.0,3180.0,262.55400000000003,1228.0,15185.0,24.391000000000002,114.0,1411.0,,,,0.0,0.0,0.0,2597.496,12145.0,150226.0
2008-09-01,3411.069,15949.0,188177.0,1272.077,5948.0,70176.0,,,,800.464,7888.0,7888.0,63.198,296.0,3486.0,240.46200000000002,1124.0,13265.0,16.284000000000002,76.0,898.0,,,,1.111,5.0,61.0,2698.367,12617.0,148859.0
2008-10-01,3703.4060000000004,17316.0,196468.0,1470.4070000000002,6875.0,78006.0,,,,745.0790000000001,7342.0,7342.0,38.664,181.0,2051.0,274.369,1283.0,14555.0,11.099,52.0,589.0,,,,0.116,1.0,6.0,2594.388,12131.0,137634.0
2008-11-01,3861.384,18055.0,203921.0,1220.919,5709.0,64477.0,,,,1131.107,11146.0,11146.0,42.828,200.0,2262.0,222.097,1038.0,11729.0,7.433000000000001,35.0,393.0,,,,0.0,0.0,0.0,2256.677,10552.0,119176.0
2008-12-01,4744.973,22187.0,252003.0,1229.046,5747.0,65274.0,,,,1013.933,9991.0,9991.0,51.255,240.0,2722.0,246.82,1154.0,13109.0,5.0280000000000005,24.0,267.0,,,,0.0,0.0,0.0,2201.3650000000002,10293.0,116913.0
2009-01-01,5336.687,24953.0,300676.0,1259.681,5890.0,70972.0,,,,715.438,6983.0,6983.0,51.84,242.0,2921.0,267.023,1249.0,15044.0,6.97,33.0,393.0,,,,0.0,0.0,0.0,2121.905,9922.0,119551.0
2009-02-01,3860.6510000000003,18052.0,226011.0,1106.776,5175.0,64793.0,,,,486.905,4752.0,4752.0,122.51700000000001,573.0,7172.0,238.827,1117.0,13981.0,4.025,19.0,236.0,,,,0.0,0.0,0.0,2738.5260000000003,12805.0,160320.0
2009-03-01,4428.69,20708.0,259871.0,1256.006,5873.0,73701.0,,,,660.081,6442.0,6442.0,16.409000000000002,77.0,963.0,256.594,1200.0,15057.0,2.945,14.0,173.0,,,,0.0,0.0,0.0,2619.637,12249.0,153718.0
2009-04-01,3196.449,14946.0,192729.0,940.543,4398.0,56710.0,,,,653.091,6374.0,6374.0,916.9,4287.0,55284.0,235.56400000000002,1101.0,14203.0,4.95,23.0,298.0,,,,6.809,32.0,411.0,1658.0790000000002,7753.0,99974.0
2009-05-01,3338.666,15611.0,194638.0,976.499,4566.0,56928.0,,,,687.0880000000001,6706.0,6706.0,363.05400000000003,1698.0,21165.0,234.63,1097.0,13678.0,,,,,,,4.2780000000000005,20.0,249.0,2989.023,13976.0,174254.0
2009-06-01,3460.255,16179.0,216824.0,1284.605,6007.0,80495.0,,,,838.65,8185.0,8185.0,363.175,1698.0,22757.0,221.00900000000001,1033.0,13849.0,12.836,60.0,804.0,,,,11.045,52.0,692.0,2421.664,11323.0,151745.0
2009-07-01,3559.2,16642.0,209219.0,1458.008,6817.0,85705.0,,,,879.668,8586.0,8586.0,39.518,185.0,2323.0,250.691,1172.0,14736.0,8.568,40.0,504.0,,,,12.198,57.0,717.0,2868.938,13415.0,168644.0
2009-08-01,3382.172,15814.0,199959.0,1345.404,6291.0,79542.0,,,,839.961,8198.0,8198.0,67.809,317.0,4009.0,274.358,1283.0,16220.0,11.375,53.0,672.0,,,,11.042,52.0,653.0,2649.7780000000002,12390.0,156659.0
2009-09-01,3247.391,15184.0,184441.0,1195.34,5589.0,67891.0,,,,679.7280000000001,6634.0,6634.0,180.091,842.0,10229.0,233.79100000000003,1093.0,13279.0,17.295,81.0,982.0,,,,10.278,48.0,584.0,2581.187,12069.0,146603.0
2009-10-01,3564.5330000000004,16667.0,203667.0,1497.737,7003.0,85576.0,,,,818.7810000000001,7991.0,7991.0,79.06400000000001,370.0,4518.0,246.80900000000003,1154.0,14102.0,14.15,66.0,808.0,,,,13.198,62.0,754.0,2821.963,13195.0,161239.0
2009-11-01,3304.627,15452.0,190943.0,1308.35,6118.0,75597.0,,,,839.686,8195.0,8195.0,175.168,819.0,10121.0,263.69800000000004,1233.0,15237.0,8.239,39.0,476.0,,,,11.598,54.0,670.0,3094.712,14470.0,178814.0
2009-12-01,3500.882,16369.0,202392.0,1445.367,6758.0,83559.0,,,,605.993,5914.0,5914.0,267.546,1251.0,15467.0,287.659,1345.0,16630.0,14.009,66.0,810.0,,,,12.969000000000001,61.0,750.0,3443.6510000000003,16102.0,199083.0
