measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2021-08-01,104.233,1185.0,5179.0,1086.569,12358.0,53988.0,,,,1861.702,21174.0,92504.0
2021-09-01,101.597,1155.0,5048.0,681.734,7754.0,33873.0,,,,1942.11,22088.0,96494.0
2021-10-01,85.532,973.0,4250.0,791.056,8997.0,39305.0,,,,1924.373,21887.0,95613.0
2021-11-01,99.112,1127.0,4925.0,793.737,9027.0,39438.0,,,,1858.922,21142.0,92362.0
2021-12-01,93.392,1062.0,4640.0,851.197,9681.0,42294.0,,,,1775.404,20192.0,88215.0
2022-01-01,433.513,4930.0,17817.0,261.221,2971.0,10736.0,,,,2008.084,22839.0,82540.0
2022-02-01,396.624,4511.0,16301.0,200.627,2282.0,8246.0,,,,1887.759,21470.0,77587.0
2022-03-01,421.617,4795.0,17328.0,149.996,1706.0,6165.0,,,,1951.356,22193.0,80200.0
2022-04-01,391.515,4453.0,16091.0,130.729,1487.0,5373.0,,,,1876.958,21347.0,77142.0
2022-05-01,488.088,5551.0,20060.0,200.357,2279.0,8235.0,,,,1958.909,22279.0,80512.0
2022-06-01,448.453,5100.0,18432.0,301.024,3424.0,12372.0,,,,2020.271,22977.0,83031.0
2022-07-01,437.392,4975.0,17977.0,420.306,4780.0,17274.0,,,,2145.866,24406.0,88195.0
2022-08-01,461.422,5248.0,18965.0,404.669,4602.0,16632.0,,,,2138.174,24318.0,87875.0
2022-09-01,433.812,4934.0,17829.0,297.623,3385.0,12232.0,,,,1955.952,22246.0,80387.0
2022-10-01,381.864,4343.0,15695.0,217.125,2469.0,8924.0,,,,1771.262,20145.0,72797.0
2022-11-01,402.439,4577.0,16540.0,170.254,1936.0,6997.0,,,,1940.839,22074.0,79771.0
2022-12-01,385.846,4388.0,15858.0,238.656,2714.0,9808.0,,,,2014.398,22910.0,82789.0
2023-01-01,42.737,486.0,2550.0,454.698,5171.0,27135.0,,,,1312.976,14933.0,78347.0
2023-02-01,36.444,414.0,2175.0,312.185,3551.0,18627.0,,,,1198.862,13635.0,71534.0
2023-03-01,39.466,449.0,2355.0,499.043,5676.0,29777.0,,,,1555.472,17691.0,92816.0
2023-04-01,36.083,410.0,2153.0,328.289,3734.0,19588.0,,,,990.754,11268.0,59116.0
2023-05-01,41.73,475.0,2490.0,495.037,5630.0,29538.0,,,,1325.728,15078.0,79103.0
2023-06-01,46.165,525.0,2755.0,775.179,8816.0,46254.0,,,,1386.656,15771.0,82744.0
2023-07-01,45.828,521.0,2734.0,886.409,10081.0,52891.0,,,,1414.529,16088.0,84405.0
2023-08-01,49.207,560.0,2936.0,842.838,9586.0,50291.0,,,,1464.894,16661.0,87410.0
2023-09-01,45.945,523.0,2742.0,608.744,6923.0,36323.0,,,,1362.337,15494.0,81289.0
2023-10-01,45.744,520.0,2729.0,439.535,4999.0,26227.0,,,,1142.081,12989.0,68147.0
2023-11-01,46.533,529.0,2777.0,467.579,5318.0,27900.0,,,,1454.301,16540.0,86774.0
2023-12-01,47.095,536.0,2810.0,610.664,6945.0,36437.0,,,,1510.233,17176.0,90113.0
2024-01-01,50.612,576.0,3290.0,727.045,8269.0,47260.0,0.0,0.0,0.0,1717.817,19537.0,111660.0
2024-02-01,54.808,623.0,3563.0,586.5,6670.0,38125.0,0.0,0.0,0.0,1436.634,16339.0,93390.0
2024-03-01,49.473,563.0,3216.0,491.417,5589.0,31945.0,0.0,0.0,0.0,1664.384,18930.0,108190.0
2024-04-01,41.975,477.0,2728.0,372.803,4240.0,24234.0,0.0,0.0,0.0,1385.264,15755.0,90050.0
2024-05-01,62.388,710.0,4056.0,596.292,6782.0,38762.0,0.0,0.0,0.0,1559.232,17734.0,101360.0
2024-06-01,57.398,653.0,3731.0,682.226,7759.0,44348.0,0.0,0.0,0.0,1576.837,17934.0,102500.0
2024-07-01,62.92,716.0,4090.0,1051.294,11957.0,68338.0,0.0,0.0,0.0,1659.451,18873.0,107870.0
2024-08-01,67.709,770.0,4402.0,1004.921,11429.0,65324.0,0.0,0.0,0.0,1495.877,17013.0,97240.0
2024-09-01,64.469,733.0,4191.0,661.513,7524.0,43001.0,0.0,0.0,0.0,1819.292,20691.0,118260.0
2024-10-01,58.16,661.0,3781.0,436.911,4969.0,28401.0,0.0,0.0,0.0,1492.855,16979.0,97040.0
2024-11-01,52.231,594.0,3395.0,556.84,6333.0,36197.0,0.0,0.0,0.0,1803.564,20513.0,117240.0
2024-12-01,59.666,679.0,3878.0,627.319,7135.0,40778.0,0.0,0.0,0.0,1550.903,17639.0,100820.0
