measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2021-05-01,,,,0.217,3.0,3.0,46474.783,538868.0,538868.0,,,
2021-06-01,,,,0.0,0.0,0.0,63641.0,735903.0,735903.0,,,
2021-07-01,,,,0.219,3.0,3.0,61166.781,703713.0,703713.0,,,
2021-08-01,,,,0.0,0.0,0.0,66704.0,756213.0,756213.0,,,
2021-09-01,,,,0.222,3.0,3.0,51853.778,588332.0,588332.0,,,
2021-10-01,,,,0.619,8.0,8.0,29796.381,363317.0,363317.0,,,
2021-11-01,,,,0.43,5.0,5.0,53921.57,631437.0,631437.0,,,
2021-12-01,,,,0.213,3.0,3.0,53759.787,636192.0,636192.0,,,
2022-01-01,,,,0.212,3.0,3.0,65454.788,778311.0,778311.0,,,
2022-02-01,,,,0.0,0.0,0.0,57368.0,689749.0,689749.0,,,
2022-03-01,,,,0.0,0.0,0.0,51212.0,607776.0,607776.0,,,
2022-04-01,,,,0.429,5.0,5.0,27988.571,328111.0,328111.0,,,
2022-05-01,,,,0.428,5.0,5.0,55325.572,650954.0,650954.0,,,
2022-06-01,,,,0.0,0.0,0.0,66416.0,771836.0,771836.0,,,
2022-07-01,,,,0.213,3.0,3.0,56255.787,664290.0,664290.0,,,
2022-08-01,,,,0.0,0.0,0.0,65060.0,750592.0,750592.0,,,
2022-09-01,,,,0.0,0.0,0.0,62882.0,722624.0,722624.0,,,
2022-10-01,,,,0.0,0.0,0.0,67218.0,759721.0,759721.0,,,
2022-11-01,,,,0.223,3.0,3.0,57492.777,647400.0,647400.0,,,
2022-12-01,,,,0.668,8.0,8.0,65566.332,741377.0,741377.0,,,
2023-01-01,,,,0.224,3.0,3.0,59365.776,667550.0,667550.0,,,
2023-02-01,,,,0.0,0.0,0.0,59003.0,672335.0,672335.0,,,
2023-03-01,,,,0.431,5.0,5.0,43184.569,504025.0,504025.0,,,
2023-04-01,,,,0.0,0.0,0.0,60614.0,674674.0,674674.0,,,
2023-05-01,,,,0.451,5.0,5.0,30060.549,335171.0,335171.0,,,
2023-06-01,,,,0.0,0.0,0.0,65797.0,718293.0,718293.0,,,
2023-07-01,,,,0.224,3.0,3.0,68657.776,772480.0,772480.0,,,
2023-08-01,,,,0.0,0.0,0.0,56226.0,650018.0,650018.0,,,
2023-09-01,,,,0.222,3.0,3.0,60443.778,685357.0,685357.0,,,
2023-10-01,,,,0.218,3.0,3.0,65203.782,750895.0,750895.0,,,
2023-11-01,,,,0.0,0.0,0.0,65815.0,761029.0,761029.0,,,
2023-12-01,,,,0.0,0.0,0.0,67954.0,786765.0,786765.0,,,
2024-01-01,,,,0.0,0.0,0.0,67798.0,783986.0,783986.0,,,
2024-02-01,,,,0.0,0.0,0.0,63097.0,728263.0,728263.0,,,
2024-03-01,,,,0.216,3.0,3.0,56920.784,664196.0,664196.0,,,
2024-04-01,,,,0.0,0.0,0.0,53998.0,633822.0,633822.0,,,
2024-05-01,,,,0.43,5.0,5.0,44452.57,519790.0,519790.0,,,
2024-06-01,,,,0.0,0.0,0.0,64619.0,743130.0,743130.0,,,
2024-07-01,,,,0.0,0.0,0.0,68625.0,782235.0,782235.0,,,
2024-08-01,,,,0.215,3.0,3.0,58428.785,683238.0,683238.0,,,
2024-09-01,,,,0.0,0.0,0.0,65690.0,741952.0,741952.0,,,
2024-10-01,,,,0.658,8.0,8.0,58056.342,666340.0,666340.0,,,
2024-11-01,,,,0.218,3.0,3.0,53502.782,618831.0,618831.0,,,
2024-12-01,,,,0.0,0.0,0.0,63115.0,719012.0,719012.0,,,
