measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-08-01,371.578,4704.0,4704.0,313.475,3969.0,3969.0,174.693,2212.0,2212.0
2013-09-01,338.955,4291.0,4291.0,312.691,3959.0,3959.0,159.355,2017.0,2017.0
2013-10-01,370.046,4685.0,4685.0,271.316,3434.0,3434.0,173.973,2202.0,2202.0
2013-11-01,367.965,4658.0,4658.0,267.618,3387.0,3387.0,172.994,2190.0,2190.0
2013-12-01,384.178,4863.0,4863.0,311.643,3945.0,3945.0,180.616,2287.0,2287.0
2014-01-01,328.272,4122.0,4122.0,286.226,3593.0,3593.0,184.013,2310.0,2310.0
2014-02-01,286.509,3598.0,3598.0,267.283,3356.0,3356.0,160.604,2017.0,2017.0
2014-03-01,299.423,3760.0,3760.0,231.943,2912.0,2912.0,167.843,2108.0,2108.0
2014-04-01,262.951,3302.0,3302.0,220.546,2769.0,2769.0,147.399,1851.0,1851.0
2014-05-01,270.935,3402.0,3402.0,222.385,2793.0,2793.0,151.874,1907.0,1907.0
2014-06-01,287.367,3608.0,3608.0,219.233,2753.0,2753.0,161.085,2023.0,2023.0
2014-07-01,287.445,3610.0,3610.0,310.189,3895.0,3895.0,161.129,2024.0,2024.0
2014-08-01,281.732,3538.0,3538.0,320.192,4021.0,4021.0,157.926,1983.0,1983.0
2014-09-01,283.971,3566.0,3566.0,334.927,4205.0,4205.0,159.181,1999.0,1999.0
2014-10-01,285.396,3584.0,3584.0,330.402,4148.0,4148.0,159.98,2009.0,2009.0
2014-11-01,245.052,3077.0,3077.0,238.782,2999.0,2999.0,137.365,1725.0,1725.0
2014-12-01,261.253,3281.0,3281.0,259.74,3262.0,3262.0,146.447,1839.0,1839.0
2015-01-01,341.564,3885.0,3955.0,249.433,2837.0,2889.0,208.49,2371.0,2413.0
2015-02-01,317.732,3614.0,3679.0,184.698,2101.0,2138.0,193.944,2206.0,2246.0
2015-03-01,331.147,3766.0,3834.0,216.379,2461.0,2505.0,202.133,2299.0,2340.0
2015-04-01,292.412,3326.0,3385.0,207.642,2362.0,2404.0,178.488,2030.0,2067.0
2015-05-01,319.376,3632.0,3698.0,202.713,2306.0,2347.0,194.948,2217.0,2257.0
2015-06-01,358.948,4082.0,4156.0,285.05,3242.0,3301.0,219.102,2492.0,2537.0
2015-07-01,365.83,4161.0,4235.0,321.5,3657.0,3722.0,223.303,2540.0,2585.0
2015-08-01,352.395,4008.0,4080.0,339.123,3857.0,3926.0,215.103,2446.0,2490.0
2015-09-01,344.904,3923.0,3993.0,336.78,3830.0,3899.0,210.53,2394.0,2437.0
2015-10-01,332.07,3777.0,3845.0,324.42,3690.0,3756.0,202.696,2305.0,2347.0
2015-11-01,307.72,3500.0,3563.0,239.202,2721.0,2769.0,187.833,2136.0,2175.0
2015-12-01,350.554,3987.0,4059.0,255.859,2910.0,2962.0,213.979,2434.0,2477.0
2016-01-01,350.21,4120.0,4223.0,314.917,3705.0,3797.0,213.584,2513.0,2576.0
2016-02-01,331.257,3897.0,3995.0,249.926,2941.0,3014.0,202.025,2377.0,2436.0
2016-03-01,304.926,3588.0,3677.0,194.375,2287.0,2344.0,185.966,2188.0,2242.0
2016-04-01,301.36,3546.0,3634.0,185.886,2187.0,2242.0,183.791,2162.0,2216.0
2016-05-01,353.326,4157.0,4261.0,200.654,2361.0,2419.0,215.484,2535.0,2599.0
2016-06-01,348.532,4101.0,4203.0,305.261,3592.0,3681.0,212.56,2501.0,2563.0
2016-07-01,336.58,3960.0,4059.0,360.06,4236.0,4342.0,205.271,2415.0,2476.0
2016-08-01,325.609,3831.0,3926.0,398.24,4685.0,4802.0,198.58,2336.0,2395.0
2016-09-01,343.961,4047.0,4148.0,329.68,3879.0,3976.0,209.772,2468.0,2529.0
2016-10-01,334.88,3940.0,4038.0,325.206,3826.0,3922.0,204.234,2403.0,2463.0
2016-11-01,341.651,4020.0,4120.0,250.055,2942.0,3015.0,208.363,2451.0,2512.0
2016-12-01,338.944,3988.0,4087.0,283.161,3332.0,3415.0,206.713,2432.0,2493.0
2017-01-01,324.721,3821.0,3890.0,195.244,2297.0,2341.0,199.216,2344.0,2386.0
2017-02-01,293.761,3456.0,3520.0,149.026,1753.0,1785.0,180.22,2120.0,2159.0
2017-03-01,328.963,3870.0,3941.0,123.414,1452.0,1479.0,201.817,2374.0,2418.0
2017-04-01,295.705,3479.0,3542.0,110.246,1297.0,1321.0,181.413,2134.0,2174.0
2017-05-01,322.292,3792.0,3861.0,136.77,1609.0,1638.0,197.724,2326.0,2369.0
2017-06-01,329.843,3881.0,3952.0,179.942,2117.0,2155.0,202.357,2381.0,2424.0
2017-07-01,327.05,3848.0,3918.0,245.382,2887.0,2940.0,200.643,2361.0,2404.0
2017-08-01,328.061,3860.0,3930.0,277.002,3259.0,3318.0,201.263,2368.0,2411.0
2017-09-01,307.636,3619.0,3686.0,227.921,2682.0,2731.0,188.733,2221.0,2261.0
2017-10-01,259.555,3054.0,3109.0,215.856,2540.0,2586.0,159.235,1873.0,1908.0
2017-11-01,309.85,3646.0,3712.0,187.596,2207.0,2247.0,190.091,2237.0,2278.0
2017-12-01,341.229,4015.0,4088.0,198.881,2340.0,2383.0,209.342,2463.0,2508.0
2018-01-01,307.836,3569.0,3569.0,250.685,2905.0,2905.0,201.072,2330.0,2330.0
2018-02-01,287.681,3334.0,3334.0,220.106,2551.0,2551.0,187.909,2178.0,2178.0
2018-03-01,285.682,3311.0,3311.0,228.919,2653.0,2653.0,186.603,2163.0,2163.0
2018-04-01,271.375,3145.0,3145.0,172.28,1997.0,1997.0,177.258,2054.0,2054.0
2018-05-01,277.603,3217.0,3217.0,157.268,1823.0,1823.0,181.326,2101.0,2101.0
2018-06-01,277.922,3221.0,3221.0,215.136,2494.0,2494.0,181.534,2104.0,2104.0
2018-07-01,298.328,3458.0,3458.0,375.41,4351.0,4351.0,194.863,2258.0,2258.0
2018-08-01,310.881,3603.0,3603.0,347.288,4025.0,4025.0,203.063,2354.0,2354.0
2018-09-01,300.5,3483.0,3483.0,279.498,3240.0,3240.0,196.282,2275.0,2275.0
2018-10-01,302.834,3510.0,3510.0,312.415,3621.0,3621.0,197.806,2293.0,2293.0
2018-11-01,296.929,3442.0,3442.0,279.287,3237.0,3237.0,193.95,2248.0,2248.0
2018-12-01,315.808,3660.0,3660.0,281.382,3261.0,3261.0,206.281,2391.0,2391.0
2019-01-01,288.877,3399.0,3543.0,358.349,4216.0,4395.0,273.975,3223.0,3359.0
2019-02-01,264.326,3110.0,3242.0,332.265,3909.0,4075.0,250.689,2949.0,3074.0
2019-03-01,292.86,3446.0,3591.0,289.751,3409.0,3554.0,277.75,3268.0,3406.0
2019-04-01,271.697,3197.0,3332.0,203.318,2392.0,2493.0,257.679,3032.0,3160.0
2019-05-01,252.783,2974.0,3100.0,175.202,2061.0,2148.0,239.741,2821.0,2940.0
2019-06-01,256.807,3021.0,3149.0,234.276,2756.0,2873.0,243.557,2866.0,2987.0
2019-07-01,283.371,3334.0,3475.0,369.314,4345.0,4529.0,268.751,3162.0,3296.0
2019-08-01,295.631,3478.0,3625.0,433.804,5104.0,5320.0,280.378,3299.0,3438.0
2019-09-01,272.171,3202.0,3338.0,381.715,4491.0,4681.0,258.128,3037.0,3166.0
2019-10-01,242.326,2851.0,2972.0,390.959,4600.0,4794.0,229.823,2704.0,2819.0
2019-11-01,263.551,3101.0,3232.0,383.428,4511.0,4702.0,249.953,2941.0,3065.0
2019-12-01,284.39,3346.0,3488.0,397.688,4679.0,4877.0,269.717,3173.0,3308.0
2020-01-01,299.988,3530.0,3637.0,275.885,3246.0,3345.0,208.844,2457.0,2531.0
2020-02-01,269.844,3175.0,3271.0,243.633,2866.0,2954.0,187.858,2210.0,2278.0
2020-03-01,284.336,3345.0,3447.0,270.449,3182.0,3278.0,197.947,2329.0,2400.0
2020-04-01,266.113,3131.0,3226.0,191.261,2250.0,2318.0,185.261,2180.0,2246.0
2020-05-01,282.686,3326.0,3427.0,179.838,2116.0,2181.0,196.799,2315.0,2386.0
2020-06-01,260.545,3065.0,3159.0,252.979,2976.0,3067.0,181.385,2134.0,2199.0
2020-07-01,292.623,3443.0,3548.0,353.891,4164.0,4290.0,203.717,2397.0,2470.0
2020-08-01,279.384,3287.0,3387.0,440.088,5178.0,5336.0,194.499,2288.0,2358.0
2020-09-01,277.116,3260.0,3360.0,383.248,4509.0,4646.0,192.921,2270.0,2339.0
2020-10-01,266.699,3138.0,3233.0,398.013,4683.0,4826.0,185.669,2184.0,2251.0
2020-11-01,268.497,3159.0,3255.0,317.919,3740.0,3855.0,186.92,2199.0,2266.0
2020-12-01,239.806,2821.0,2907.0,352.393,4146.0,4272.0,166.946,1964.0,2024.0
2021-01-01,266.955,3141.0,3316.0,303.438,3570.0,3768.0,209.752,2468.0,2605.0
2021-02-01,247.95,2917.0,3080.0,257.326,3028.0,3197.0,194.819,2292.0,2420.0
2021-03-01,276.905,3258.0,3440.0,276.675,3255.0,3437.0,217.569,2560.0,2703.0
2021-04-01,229.761,2703.0,2854.0,245.503,2888.0,3050.0,180.527,2124.0,2242.0
2021-05-01,248.697,2926.0,3089.0,256.582,3019.0,3188.0,195.405,2299.0,2428.0
2021-06-01,255.531,3006.0,3174.0,350.862,4128.0,4358.0,200.775,2362.0,2494.0
2021-07-01,248.322,2922.0,3085.0,484.182,5697.0,6015.0,195.111,2296.0,2424.0
2021-08-01,246.731,2903.0,3065.0,442.075,5201.0,5492.0,193.861,2281.0,2408.0
2021-09-01,250.397,2946.0,3111.0,376.153,4426.0,4673.0,196.741,2315.0,2444.0
2021-10-01,245.302,2886.0,3047.0,358.59,4219.0,4454.0,192.738,2268.0,2394.0
2021-11-01,241.685,2844.0,3002.0,329.562,3877.0,4094.0,189.896,2234.0,2359.0
2021-12-01,242.183,2849.0,3008.0,340.152,4002.0,4226.0,190.287,2239.0,2364.0
2022-01-01,224.825,2645.0,3121.0,268.463,3159.0,3727.0,231.687,2726.0,3216.0
2022-02-01,199.102,2343.0,2764.0,222.895,2622.0,3095.0,205.178,2414.0,2848.0
2022-03-01,214.826,2528.0,2982.0,206.237,2426.0,2863.0,221.382,2605.0,3074.0
2022-04-01,167.192,1967.0,2321.0,211.256,2486.0,2933.0,172.294,2027.0,2392.0
2022-05-01,172.581,2031.0,2396.0,193.863,2281.0,2692.0,177.848,2092.0,2469.0
2022-06-01,191.668,2255.0,2661.0,263.667,3102.0,3661.0,197.517,2324.0,2742.0
2022-07-01,206.077,2425.0,2861.0,352.233,4144.0,4890.0,212.366,2499.0,2949.0
2022-08-01,216.788,2551.0,3010.0,425.015,5001.0,5901.0,223.404,2628.0,3102.0
2022-09-01,210.137,2472.0,2917.0,389.526,4583.0,5408.0,216.55,2548.0,3007.0
2022-10-01,211.531,2489.0,2937.0,357.719,4209.0,4966.0,217.986,2565.0,3027.0
2022-11-01,179.63,2113.0,2494.0,328.504,3865.0,4560.0,185.112,2178.0,2570.0
2022-12-01,204.795,2410.0,2843.0,363.101,4272.0,5041.0,211.045,2483.0,2930.0
2023-01-01,226.984,2671.0,2937.0,357.551,4207.0,4627.0,212.593,2501.0,2751.0
2023-02-01,220.435,2594.0,2852.0,304.563,3583.0,3941.0,206.459,2429.0,2672.0
2023-03-01,232.901,2740.0,3014.0,292.724,3444.0,3787.0,218.136,2566.0,2823.0
2023-04-01,222.011,2612.0,2873.0,228.679,2691.0,2959.0,207.936,2446.0,2691.0
2023-05-01,272.467,3206.0,3526.0,148.114,1743.0,1917.0,255.193,3002.0,3302.0
2023-06-01,243.586,2866.0,3152.0,194.85,2293.0,2521.0,228.143,2684.0,2952.0
2023-07-01,254.265,2992.0,3290.0,451.039,5307.0,5836.0,238.145,2802.0,3081.0
2023-08-01,273.045,3213.0,3533.0,455.107,5355.0,5888.0,255.734,3009.0,3309.0
2023-09-01,254.442,2994.0,3292.0,322.137,3790.0,4169.0,238.311,2804.0,3084.0
2023-10-01,239.841,2822.0,3103.0,393.389,4628.0,5090.0,224.636,2643.0,2907.0
2023-11-01,243.842,2869.0,3155.0,369.545,4348.0,4782.0,228.382,2687.0,2955.0
2023-12-01,275.101,3237.0,3560.0,416.054,4895.0,5384.0,257.66,3032.0,3334.0
2024-01-01,188.377,2216.0,3075.0,526.736,6197.0,8600.0,232.644,2737.0,3799.0
2024-02-01,163.96,1929.0,2677.0,357.295,4204.0,5833.0,202.491,2382.0,3306.0
2024-03-01,196.637,2314.0,3210.0,255.741,3009.0,4175.0,242.848,2857.0,3964.0
2024-04-01,161.128,1896.0,2630.0,217.702,2561.0,3554.0,198.994,2341.0,3249.0
2024-05-01,190.197,2238.0,3105.0,195.88,2305.0,3198.0,234.894,2764.0,3835.0
2024-06-01,177.465,2088.0,2897.0,301.355,3546.0,4919.0,219.17,2579.0,3578.0
2024-07-01,183.945,2164.0,3003.0,578.966,6812.0,9452.0,227.173,2673.0,3709.0
2024-08-01,185.894,2187.0,3035.0,502.893,5917.0,8210.0,229.58,2701.0,3748.0
2024-09-01,178.243,2097.0,2910.0,442.955,5212.0,7232.0,220.131,2590.0,3594.0
2024-10-01,172.49,2029.0,2816.0,464.083,5460.0,7577.0,213.025,2506.0,3478.0
2024-11-01,183.964,2164.0,3003.0,373.709,4397.0,6101.0,227.196,2673.0,3709.0
2024-12-01,192.437,2264.0,3142.0,410.142,4826.0,6696.0,237.66,2796.0,3880.0
