measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2014-12-01,,,,,,,785.104,9034.0,9034.0
2015-01-01,,,,0.0,0.0,0.0,784.751,8363.0,8363.0
2015-02-01,,,,0.0,0.0,0.0,581.779,6200.0,6200.0
2015-03-01,,,,0.0,0.0,0.0,828.771,8831.0,8831.0
2015-04-01,,,,0.0,0.0,0.0,1066.18,11361.0,11361.0
2015-05-01,,,,0.0,0.0,0.0,995.479,10608.0,10608.0
2015-06-01,,,,0.0,0.0,0.0,1090.908,11625.0,11625.0
2015-07-01,,,,0.0,0.0,0.0,1239.59,13210.0,13210.0
2015-08-01,,,,0.0,0.0,0.0,1210.764,12903.0,12903.0
2015-09-01,,,,0.0,0.0,0.0,1257.901,13404.0,13404.0
2015-10-01,,,,0.0,0.0,0.0,1075.94,11466.0,11466.0
2015-11-01,,,,0.0,0.0,0.0,1225.123,13055.0,13055.0
2015-12-01,,,,0.0,0.0,0.0,1463.814,15599.0,15599.0
2016-01-01,,,,140.584,982.0,1805.0,1342.767,9376.0,17242.0
2016-02-01,,,,126.981,887.0,1631.0,1089.006,7604.0,13984.0
2016-03-01,,,,137.608,961.0,1767.0,1136.521,7936.0,14594.0
2016-04-01,,,,141.772,990.0,1821.0,893.124,6236.0,11469.0
2016-05-01,,,,154.427,1078.0,1983.0,1292.651,9026.0,16599.0
2016-06-01,,,,179.407,1253.0,2304.0,913.872,6381.0,11735.0
2016-07-01,,,,193.273,1350.0,2482.0,816.11,5698.0,10480.0
2016-08-01,,,,185.519,1295.0,2382.0,887.07,6194.0,11391.0
2016-09-01,,,,145.065,1013.0,1863.0,605.846,4230.0,7780.0
2016-10-01,,,,122.973,859.0,1579.0,533.498,3725.0,6851.0
2016-11-01,,,,117.309,819.0,1506.0,563.654,3936.0,7238.0
2016-12-01,,,,128.291,896.0,1647.0,514.672,3594.0,6609.0
2017-01-01,,,,75.654,538.0,1426.0,655.959,4664.0,12355.0
2017-02-01,,,,75.445,536.0,1421.0,625.916,4450.0,11788.0
2017-03-01,,,,67.421,479.0,1270.0,640.253,4552.0,12059.0
2017-04-01,,,,62.087,441.0,1169.0,579.887,4123.0,10921.0
2017-05-01,,,,75.889,540.0,1429.0,588.417,4183.0,11082.0
2017-06-01,,,,82.312,585.0,1550.0,558.435,3970.0,10517.0
2017-07-01,,,,88.587,630.0,1668.0,577.844,4108.0,10883.0
2017-08-01,,,,94.422,671.0,1778.0,548.602,3900.0,10332.0
2017-09-01,,,,78.826,560.0,1485.0,509.859,3625.0,9602.0
2017-10-01,,,,72.155,513.0,1359.0,602.918,4286.0,11356.0
2017-11-01,,,,67.667,481.0,1274.0,622.347,4425.0,11720.0
2017-12-01,,,,81.562,580.0,1536.0,642.536,4568.0,12101.0
2018-01-01,,,,61.024,430.0,1560.0,570.894,4020.0,14602.0
2018-02-01,,,,54.512,384.0,1394.0,541.436,3813.0,13848.0
2018-03-01,,,,52.963,373.0,1354.0,576.233,4058.0,14738.0
2018-04-01,,,,42.715,301.0,1093.0,554.88,3908.0,14193.0
2018-05-01,,,,59.248,417.0,1516.0,501.886,3534.0,12837.0
2018-06-01,,,,63.473,447.0,1624.0,542.926,3823.0,13886.0
2018-07-01,,,,71.554,504.0,1831.0,545.573,3842.0,13954.0
2018-08-01,,,,67.476,475.0,1726.0,542.686,3822.0,13880.0
2018-09-01,,,,65.719,463.0,1681.0,445.937,3140.0,11406.0
2018-10-01,,,,56.545,398.0,1446.0,553.425,3897.0,14155.0
2018-11-01,,,,46.916,330.0,1200.0,559.966,3943.0,14322.0
2018-12-01,,,,52.653,371.0,1347.0,575.36,4052.0,14716.0
2019-01-01,,,,0.495,4.0,9.0,618.001,4384.0,10299.0
2019-02-01,,,,0.45,3.0,7.0,544.494,3862.0,9074.0
2019-03-01,,,,0.393,3.0,6.0,588.127,4172.0,9801.0
2019-04-01,,,,0.445,3.0,7.0,553.394,3925.0,9222.0
2019-05-01,,,,0.498,4.0,8.0,593.081,4207.0,9883.0
2019-06-01,,,,0.538,4.0,9.0,573.499,4068.0,9557.0
2019-07-01,,,,0.589,4.0,10.0,582.257,4130.0,9703.0
2019-08-01,,,,0.618,4.0,10.0,563.528,3997.0,9391.0
2019-09-01,,,,0.571,4.0,9.0,551.767,3914.0,9195.0
2019-10-01,,,,0.518,4.0,8.0,580.501,4118.0,9674.0
2019-11-01,,,,0.518,4.0,8.0,550.763,3907.0,9179.0
2019-12-01,,,,0.53,4.0,9.0,614.425,4358.0,10239.0
2020-01-01,,,,0.0,0.0,0.0,164.23,1153.0,1586.0
2020-02-01,,,,0.0,0.0,0.0,183.714,1290.0,1775.0
2020-03-01,,,,0.0,0.0,0.0,131.727,925.0,1272.0
2020-04-01,,,,0.0,0.0,0.0,145.639,1023.0,1407.0
2020-05-01,,,,0.0,0.0,0.0,91.038,639.0,880.0
2020-06-01,,,,0.0,0.0,0.0,119.043,836.0,1150.0
2020-07-01,,,,0.0,0.0,0.0,140.914,989.0,1362.0
2020-08-01,,,,0.0,0.0,0.0,151.616,1065.0,1465.0
2020-09-01,,,,0.0,0.0,0.0,148.856,1045.0,1438.0
2020-10-01,,,,0.0,0.0,0.0,142.393,1000.0,1376.0
2020-11-01,,,,0.0,0.0,0.0,123.447,867.0,1193.0
2020-12-01,,,,0.0,0.0,0.0,152.383,1070.0,1472.0
2021-01-01,,,,0.0,0.0,0.0,597.56,734.0,734.0
2021-02-01,,,,0.0,0.0,0.0,557.861,685.0,685.0
2021-03-01,,,,0.0,0.0,0.0,594.064,729.0,729.0
2021-04-01,,,,0.0,0.0,0.0,584.192,717.0,717.0
2021-05-01,,,,0.0,0.0,0.0,589.362,723.0,723.0
2021-06-01,,,,0.0,0.0,0.0,541.342,665.0,665.0
2021-07-01,,,,0.0,0.0,0.0,558.426,685.0,685.0
2021-08-01,,,,0.0,0.0,0.0,540.327,663.0,663.0
2021-09-01,,,,0.0,0.0,0.0,497.435,611.0,611.0
2021-10-01,,,,0.0,0.0,0.0,528.136,648.0,648.0
2021-11-01,,,,0.0,0.0,0.0,526.911,647.0,647.0
2021-12-01,,,,8.962,11.0,11.0,620.422,762.0,762.0
2022-01-01,438.315,2955.0,2955.0,0.0,0.0,0.0,,,
2022-02-01,420.294,2832.0,2832.0,0.0,0.0,0.0,,,
2022-03-01,448.6,3023.0,3023.0,0.0,0.0,0.0,,,
2022-04-01,435.213,2933.0,2933.0,0.0,0.0,0.0,,,
2022-05-01,397.727,2680.0,2680.0,0.0,0.0,0.0,,,
2022-06-01,412.363,2779.0,2779.0,0.0,0.0,0.0,,,
2022-07-01,453.401,3055.0,3055.0,0.0,0.0,0.0,,,
2022-08-01,415.613,2801.0,2801.0,0.0,0.0,0.0,,,
2022-09-01,379.643,2558.0,2558.0,0.0,0.0,0.0,,,
2022-10-01,412.83,2782.0,2782.0,0.0,0.0,0.0,,,
2022-11-01,410.635,2767.0,2767.0,0.0,0.0,0.0,,,
2022-12-01,436.366,2941.0,2941.0,0.0,0.0,0.0,,,
2023-01-01,344.124,1942.0,1942.0,0.0,0.0,0.0,,,
2023-02-01,316.003,1783.0,1783.0,0.0,0.0,0.0,,,
2023-03-01,317.754,1792.0,1792.0,0.0,0.0,0.0,,,
2023-04-01,317.87,1793.0,1793.0,0.0,0.0,0.0,,,
2023-05-01,351.829,1985.0,1985.0,0.0,0.0,0.0,,,
2023-06-01,312.549,1763.0,1763.0,0.0,0.0,0.0,,,
2023-07-01,324.749,1832.0,1832.0,0.0,0.0,0.0,,,
2023-08-01,314.837,1776.0,1776.0,0.0,0.0,0.0,,,
2023-09-01,286.896,1618.0,1618.0,0.0,0.0,0.0,,,
2023-10-01,322.526,1819.0,1819.0,0.0,0.0,0.0,,,
2023-11-01,323.287,1824.0,1824.0,0.0,0.0,0.0,,,
2023-12-01,346.576,1955.0,1955.0,0.0,0.0,0.0,,,
