measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2015-12-01,4144.514,46212.0,46212.0,176.167,1965.0,1965.0
2016-01-01,3462.852,40136.0,40136.0,133.98,1553.0,1553.0
2016-02-01,3091.899,35837.0,35837.0,120.685,1399.0,1399.0
2016-03-01,3317.738,38455.0,38455.0,146.88,1702.0,1702.0
2016-04-01,3229.811,37436.0,37436.0,145.496,1687.0,1687.0
2016-05-01,3016.362,34962.0,34962.0,143.677,1665.0,1665.0
2016-06-01,3431.056,39768.0,39768.0,181.507,2104.0,2104.0
2016-07-01,3243.022,37589.0,37589.0,230.23,2669.0,2669.0
2016-08-01,3346.91,38793.0,38793.0,232.781,2698.0,2698.0
2016-09-01,3332.241,38623.0,38623.0,173.334,2009.0,2009.0
2016-10-01,3362.243,38971.0,38971.0,161.882,1876.0,1876.0
2016-11-01,3205.146,37150.0,37150.0,117.961,1368.0,1368.0
2016-12-01,3536.771,40994.0,40994.0,127.536,1478.0,1478.0
2017-01-01,3166.823,38246.0,38246.0,97.913,1182.0,1182.0
2017-02-01,2786.221,33649.0,33649.0,83.08,1004.0,1004.0
2017-03-01,2965.994,35820.0,35820.0,122.405,1478.0,1478.0
2017-04-01,2522.351,30462.0,30462.0,90.024,1087.0,1087.0
2017-05-01,2327.619,28111.0,28111.0,99.766,1205.0,1205.0
2017-06-01,2559.207,30908.0,30908.0,127.469,1539.0,1539.0
2017-07-01,2978.238,35968.0,35968.0,147.391,1780.0,1780.0
2017-08-01,3081.529,37216.0,37216.0,131.259,1585.0,1585.0
2017-09-01,2962.096,35773.0,35773.0,116.415,1406.0,1406.0
2017-10-01,3060.723,36964.0,36964.0,104.387,1260.0,1260.0
2017-11-01,2889.809,34900.0,34900.0,79.487,960.0,960.0
2017-12-01,3136.221,37876.0,37876.0,98.573,1191.0,1191.0
2018-01-01,2694.684,23366.0,23366.0,24.898,216.0,216.0
2018-02-01,2353.86,20411.0,20411.0,33.98,295.0,295.0
2018-03-01,2605.708,22595.0,22595.0,40.266,349.0,349.0
2018-04-01,2644.422,22930.0,22930.0,37.468,325.0,325.0
2018-05-01,2563.317,22227.0,22227.0,36.87,319.0,319.0
2018-06-01,2515.381,21811.0,21811.0,41.882,363.0,363.0
2018-07-01,2517.45,21830.0,21830.0,61.887,537.0,537.0
2018-08-01,2615.839,22683.0,22683.0,60.973,528.0,528.0
2018-09-01,2355.797,20428.0,20428.0,52.025,451.0,451.0
2018-10-01,2441.487,21171.0,21171.0,41.913,363.0,363.0
2018-11-01,2135.839,18520.0,18520.0,35.588,309.0,309.0
2018-12-01,2554.463,22150.0,22150.0,39.003,339.0,339.0
2020-01-01,1916.808,22339.0,22339.0,1.077,13.0,13.0
2020-02-01,1652.639,19259.0,19259.0,0.945,11.0,11.0
2020-03-01,1793.188,20897.0,20897.0,0.959,11.0,11.0
2020-04-01,1588.98,18517.0,18517.0,0.871,10.0,10.0
2020-05-01,1905.092,22201.0,22201.0,0.736,8.0,8.0
2020-06-01,1751.534,20412.0,20412.0,1.224,14.0,14.0
2020-07-01,1933.369,22531.0,22531.0,1.866,21.0,21.0
2020-08-01,1883.825,21954.0,21954.0,1.635,19.0,19.0
2020-09-01,1803.145,21013.0,21013.0,1.034,12.0,12.0
2020-10-01,1847.572,21531.0,21531.0,1.14,13.0,13.0
2020-11-01,1631.265,19010.0,19010.0,1.002,11.0,11.0
2020-12-01,1741.367,20293.0,20293.0,0.727,8.0,8.0
2021-01-01,1242.527,24209.0,24209.0,477.444,9301.0,9301.0
2021-02-01,936.198,18240.0,18240.0,549.123,10699.0,10699.0
2021-03-01,1229.853,23962.0,23962.0,491.589,9578.0,9578.0
2021-04-01,1158.751,22576.0,22576.0,582.27,11344.0,11344.0
2021-05-01,999.83,19480.0,19480.0,610.777,11900.0,11900.0
2021-06-01,1065.933,20768.0,20768.0,878.289,17113.0,17113.0
2021-07-01,981.806,19129.0,19129.0,1071.211,20871.0,20871.0
2021-08-01,1143.377,22277.0,22277.0,1123.314,21886.0,21886.0
2021-09-01,1096.36,21361.0,21361.0,802.443,15635.0,15635.0
2021-10-01,1121.655,21854.0,21854.0,952.364,18556.0,18556.0
2021-11-01,976.986,19035.0,19035.0,778.49,15167.0,15167.0
2021-12-01,1099.346,21419.0,21419.0,587.064,11438.0,11438.0
