measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2013-02-01,6668.0,73076.0,73076.0,535.0,0.0,0.0,6230.366,80818.0,80818.0,,,
2013-03-01,6973.0,81189.0,81189.0,633.0,0.0,0.0,6008.801,77944.0,77944.0,,,
2013-04-01,6479.0,71127.0,71127.0,560.0,0.0,0.0,5170.609,67071.0,67071.0,,,
2013-05-01,6973.0,77524.0,77524.0,633.0,0.0,0.0,5460.558,70833.0,70833.0,,,
2013-06-01,6973.0,78146.0,78146.0,578.0,0.0,0.0,6460.228,83800.0,83800.0,,,
2013-07-01,6973.0,79784.0,79784.0,633.0,0.0,0.0,8197.301,106333.0,106333.0,,,
2013-08-01,6973.0,79146.0,79146.0,633.0,0.0,0.0,8360.117,108444.0,108444.0,,,
2013-09-01,6973.0,77296.0,77296.0,633.0,0.0,0.0,8339.222,108173.0,108173.0,,,
2013-10-01,6973.0,81926.0,81926.0,633.0,0.0,0.0,7235.772,93860.0,93860.0,,,
2013-11-01,6973.0,60507.0,60507.0,534.0,0.0,0.0,7137.15,92580.0,92580.0,,,
2013-12-01,5821.0,64605.0,64605.0,496.0,0.0,0.0,8311.28,107811.0,107811.0,,,
2014-01-01,6219.0,82786.0,88095.0,533.0,0.0,0.0,,,,,,
2014-02-01,5198.0,68900.0,73431.0,426.0,0.0,0.0,,,,,,
2014-03-01,4520.0,60710.0,62635.0,435.0,0.0,0.0,,,,,,
2014-04-01,6261.0,83195.0,86941.0,561.0,0.0,0.0,,,,,,
2014-05-01,5061.0,67034.0,71774.0,386.0,0.0,0.0,,,,,,
2014-06-01,6602.0,88576.0,92858.0,675.0,0.0,0.0,,,,,,
2014-07-01,5082.0,70867.0,75977.0,713.0,0.0,0.0,,,,,,
2014-08-01,6946.0,92920.0,97045.0,697.0,0.0,0.0,,,,,,
2014-09-01,6011.0,80626.0,84549.0,605.0,0.0,0.0,,,,,,
2014-10-01,4912.0,65704.0,70980.0,434.0,0.0,0.0,,,,,,
2014-11-01,6080.0,81479.0,86920.0,592.0,0.0,0.0,,,,,,
2014-12-01,6152.0,83219.0,86815.0,664.0,0.0,0.0,,,,,,
2015-01-01,6094.0,74133.0,74133.0,699.0,0.0,0.0,,,,,,
2015-02-01,4692.0,58510.0,58510.0,423.0,0.0,0.0,,,,,,
2015-03-01,6291.0,75174.0,75174.0,763.0,0.0,0.0,,,,,,
2015-04-01,5643.0,67922.0,67922.0,627.0,0.0,0.0,,,,,,
2015-05-01,5772.0,70959.0,70959.0,758.0,0.0,0.0,,,,,,
2015-06-01,6096.0,71858.0,71858.0,728.0,0.0,0.0,,,,,,
2015-07-01,6656.0,75812.0,75812.0,825.0,0.0,0.0,,,,,,
2015-08-01,6575.0,76826.0,76826.0,764.0,0.0,0.0,,,,,,
2015-09-01,6546.0,76380.0,76380.0,836.0,0.0,0.0,,,,,,
2015-10-01,5230.0,61056.0,61056.0,626.0,0.0,0.0,,,,,,
2015-11-01,5518.0,73219.0,73219.0,644.0,0.0,0.0,,,,,,
2015-12-01,5701.0,70376.0,70376.0,587.0,0.0,0.0,,,,,,
2016-01-01,3805.0,23857.0,56077.0,264.0,0.0,0.0,,,,,,
2016-02-01,4845.0,30543.0,72355.0,446.0,0.0,0.0,,,,,,
2016-03-01,6352.0,39733.0,88795.0,602.0,0.0,0.0,,,,,,
2016-04-01,2056.0,13174.0,29695.0,190.0,0.0,0.0,,,,,,
2016-05-01,1582.0,10236.0,23233.0,149.0,0.0,0.0,,,,,,
2016-06-01,6079.0,39548.0,87993.0,1031.0,0.0,0.0,,,,,,
2016-07-01,6206.0,43897.0,89401.0,1193.0,0.0,0.0,,,,,,
2016-08-01,6719.0,43343.0,91566.0,898.0,0.0,0.0,,,,,,
2016-09-01,6489.0,41403.0,87355.0,806.0,0.0,0.0,,,,,,
2016-10-01,5326.0,32350.0,70459.0,308.0,0.0,0.0,,,,,,
2016-11-01,5605.0,35533.0,77590.0,610.0,0.0,0.0,,,,,,
2016-12-01,5527.0,34910.0,79337.0,554.0,0.0,0.0,,,,,,
2017-01-01,5630.0,35576.0,81092.0,597.0,0.0,0.0,,,,,,
2017-02-01,4185.0,25532.0,62042.0,240.0,0.0,0.0,,,,,,
2017-03-01,6018.0,38491.0,84591.0,710.0,0.0,0.0,,,,,,
2017-04-01,6316.0,37100.0,84812.0,176.0,0.0,0.0,,,,,,
2017-05-01,5685.0,34120.0,76844.0,270.0,0.0,0.0,,,,,,
2017-06-01,6524.0,41877.0,89007.0,842.0,0.0,0.0,,,,,,
2017-07-01,6550.0,42160.0,88127.0,857.0,0.0,0.0,,,,,,
2017-08-01,6770.0,43279.0,92365.0,822.0,0.0,0.0,,,,,,
2017-09-01,6483.0,41845.0,89056.0,872.0,0.0,0.0,,,,,,
2017-10-01,5471.0,34573.0,75595.0,567.0,0.0,0.0,,,,,,
2017-11-01,5957.0,38299.0,83570.0,723.0,0.0,0.0,,,,,,
2017-12-01,5379.0,33672.0,74568.0,596.0,0.0,0.0,,,,,,
2018-01-01,5706.0,36349.0,80304.0,679.0,0.0,0.0,,,,,,
2018-02-01,5486.0,34925.0,78642.0,628.0,0.0,0.0,,,,,,
2018-03-01,4068.0,27707.0,61310.0,515.0,0.0,0.0,,,,,,
2018-04-01,4621.0,29930.0,66344.0,586.0,0.0,0.0,,,,,,
2018-05-01,6257.0,40171.0,87264.0,772.0,0.0,0.0,,,,,,
2018-06-01,6407.0,41008.0,87986.0,795.0,0.0,0.0,,,,,,
2018-07-01,5819.0,37969.0,81251.0,819.0,0.0,0.0,,,,,,
2018-08-01,6327.0,41109.0,90783.0,851.0,0.0,0.0,,,,,,
2018-09-01,6238.0,40486.0,86411.0,815.0,0.0,0.0,,,,,,
2018-10-01,5531.0,35117.0,78500.0,594.0,0.0,0.0,,,,,,
2018-11-01,5233.0,33646.0,73850.0,636.0,0.0,0.0,,,,,,
2018-12-01,5548.0,35075.0,79468.0,582.0,0.0,0.0,,,,,,
2019-01-01,6023.0,38214.0,86443.0,638.0,0.0,0.0,,,,,,
2019-02-01,5168.0,32334.0,73351.0,466.0,0.0,0.0,,,,,,
2019-03-01,5856.0,36695.0,84728.0,542.0,0.0,0.0,,,,,,
2019-04-01,5481.0,34296.0,79634.0,489.0,0.0,0.0,,,,,,
2019-05-01,5796.0,36701.0,83009.0,603.0,0.0,0.0,,,,,,
2019-06-01,5790.0,36817.0,84219.0,626.0,0.0,0.0,,,,,,
2019-07-01,4289.0,25499.0,69167.0,46.0,0.0,0.0,,,,,,
2019-08-01,4579.0,26854.0,72505.0,0.0,0.0,0.0,,,,,,
2019-09-01,3117.0,18510.0,50829.0,0.0,0.0,0.0,,,,,,
2019-10-01,3286.0,19427.0,53526.0,0.0,0.0,0.0,,,,,,
2019-11-01,3821.0,22573.0,61193.0,0.0,0.0,0.0,,,,,,
2019-12-01,4222.0,24806.0,63797.0,0.0,0.0,0.0,,,,,,
2020-01-01,4456.0,26432.0,73124.0,0.0,0.0,0.0,,,,,,
2020-02-01,2644.0,15882.0,44934.0,0.0,0.0,0.0,,,,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
