measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2003-07-01,0.0,0.0,0.0,5912.15,50342.0,51201.5,,,
2003-08-01,0.0,0.0,0.0,10457.085,86772.5,89057.0,,,
2003-09-01,0.0,0.0,0.0,9338.675,76764.0,78100.0,,,
2003-10-01,0.0,0.0,0.0,6389.875,53360.5,55302.0,,,
2003-11-01,0.0,0.0,0.0,1536.48,13767.0,14394.5,,,
2003-12-01,155.685,1761.0,1761.0,48.5,-46.0,44.0,,,
2004-01-01,6586.3578449999995,53920.55499999999,81818.525,3590.783155,29396.675,41802.495,,,
2004-02-01,772.906845,6327.56,14856.970000000001,3935.930655,32222.295,43280.735,,,
2004-03-01,1041.159275,8523.665,17635.825,3782.298725,30964.56,41332.310000000005,,,
2004-04-01,173.24359,1418.295,8163.465,3617.15941,29612.605,39071.755,,,
2004-05-01,206.93455,1694.1100000000001,8145.33,5244.14645,42932.265,54293.715000000004,,,
2004-06-01,199.15121499999998,1630.39,8138.14,4297.354285,35181.165,44885.98,,,
2004-07-01,203.99714000000003,1670.0649999999998,8144.33,4096.48686,33536.72,42589.600000000006,,,
2004-08-01,206.296895,1688.89,8140.955,4440.7921049999995,36355.445,46015.86,,,
2004-09-01,224.200865,1835.465,8141.72,5300.569635,43394.185000000005,53796.325000000004,,,
2004-10-01,157.19977,1286.945,8136.465,3065.20473,25093.925,33670.6,,,
2004-11-01,172.509335,1412.28,8138.87,4158.062165,34040.82,44807.76500000001,,,
2004-12-01,839.3680499999999,6871.655000000001,15716.69,4225.10095,34589.645,46834.375,,,
2005-01-01,214.981625,1759.99,1923.935,1200.1858750000001,9825.565,11025.69,,,
2005-02-01,49.65972,406.55,442.855,1067.85878,8742.244999999999,9774.55,,,
2005-03-01,42.62984,349.0,380.01,1274.82016,10436.57,11664.22,,,
2005-04-01,42.657205,349.22,380.245,1307.034795,10700.3,11958.68,,,
2005-05-01,42.99609,351.995,383.36,1060.05741,8678.375,9701.359999999999,,,
2005-06-01,52.104535000000006,426.565,464.405,1804.128465,14769.86,16504.875,,,
2005-07-01,98.636735,807.51,879.51,2323.889765,19024.99,21268.85,,,
2005-08-01,87.38311499999999,715.38,778.995,2485.1478850000003,20345.16,22739.579999999998,,,
2005-09-01,48.630975,398.125,433.455,1644.236025,13460.87,15042.44,,,
2005-10-01,68.11883999999999,557.67,607.71,1136.01316,9300.199999999999,10402.63,,,
2005-11-01,45.88823,375.675,409.2,1020.16377,8351.78,9337.535,,,
2005-12-01,125.45379,1027.05,1120.89,1100.02371,9005.560000000001,10088.6,,,
2006-01-01,10.80105,88.425,234.13,294.88161499999995,2414.105,8919.245,0.473835,3.88,968.74
2006-02-01,13.532605000000002,110.785,293.48,293.85737500000005,2405.725,8893.244999999999,0.427515,3.5,891.7
2006-03-01,24.622044999999996,201.575,534.39,320.34401,2622.565,9702.05,0.542945,4.445,1124.595
2006-04-01,11.689045,95.695,253.37,269.714875,2208.08,8157.129999999999,0.50358,4.125,1009.035
2006-05-01,8.079279999999999,66.145,175.01,261.84807,2143.67,7912.99,0.55665,4.555,1084.385
2006-06-01,7.773985,63.645,168.49,334.66664499999996,2739.8199999999997,10122.235,0.43237,3.54,905.43
2006-07-01,9.63421,78.87,208.86,500.988545,4101.44,15158.685,0.477245,3.905,1035.925
2006-08-01,10.25099,83.92,222.25,471.62865,3861.085,14271.495,0.45336,3.71,984.6
2006-09-01,5.996455,49.09,129.915,334.832105,2741.165,10122.775,0.48594,3.98,998.225
2006-10-01,5.971159999999999,48.885,129.365,373.42238000000003,3057.0950000000003,11289.380000000001,0.5254599999999999,4.3,1083.045
2006-11-01,9.700579999999999,79.415,210.22,321.129205,2628.9900000000002,9710.380000000001,0.527215,4.315,1070.625
2006-12-01,10.80585,88.465,234.215,313.723995,2568.3700000000003,9488.414999999999,0.50465,4.13,1030.385
2007-01-01,0.0,0.0,0.0,21.6265,185.0,222.5,,,
2007-02-01,0.0,0.0,0.0,19.8135,169.5,204.0,,,
2007-03-01,0.0,0.0,0.0,28.6595,246.0,294.5,,,
2007-04-01,0.0,0.0,0.0,23.4505,201.5,241.0,,,
2007-05-01,0.0,0.0,0.0,28.1725,241.5,289.5,,,
2007-06-01,0.0,0.0,0.0,34.7535,298.0,357.5,,,
2007-07-01,0.0,0.0,0.0,40.3455,346.0,414.5,,,
2007-08-01,0.0,0.0,0.0,47.287,405.5,486.0,,,
2007-09-01,0.0,0.0,0.0,34.6555,297.0,356.5,,,
2007-10-01,0.0,0.0,0.0,28.236,242.0,290.0,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
