measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2008-04-01,,,,181743.746,2076251.0,2076251.0,0.0,0.0,0.0,274.254,3133.0,3133.0,0.0,0.0,0.0,,,
2008-05-01,,,,104981.668,1216139.0,1216139.0,6.0,91.0,91.0,1263.332,14635.0,14635.0,0.0,0.0,0.0,,,
2008-06-01,,,,189311.049,2155990.0,2155990.0,90.0,1492.0,1492.0,1285.951,14645.0,14645.0,0.0,0.0,0.0,,,
2008-07-01,,,,256830.345,2866906.0,2866906.0,48.0,746.0,746.0,1776.655,19832.0,19832.0,0.0,0.0,0.0,,,
2008-08-01,,,,245021.565,2809726.0,2809726.0,231.0,3141.0,3141.0,3401.435,39005.0,39005.0,0.0,0.0,0.0,,,
2008-09-01,,,,219900.126,2545597.0,2545597.0,0.0,240.0,240.0,3716.8740000000003,43027.0,43027.0,0.0,0.0,0.0,,,
2008-10-01,,,,194928.677,2199706.0,2199706.0,36.0,615.0,615.0,3081.3230000000003,34772.0,34772.0,0.0,0.0,0.0,,,
2008-11-01,,,,195234.814,2120453.0,2120453.0,29.0,550.0,550.0,644.186,6997.0,6997.0,0.0,0.0,0.0,,,
2008-12-01,,,,199080.398,2324560.0,2324560.0,0.0,0.0,0.0,1275.602,14895.0,14895.0,0.0,0.0,0.0,,,
2009-01-01,,,,270477.917,3033689.0,3033689.0,0.0,0.0,0.0,949.0830000000001,10645.0,10645.0,,,,,,
2009-02-01,,,,195320.668,2250279.0,2250279.0,0.0,555.0,555.0,2244.3320000000003,25857.0,25857.0,,,,,,
2009-03-01,,,,227568.831,2664812.0,2664812.0,36.0,683.0,683.0,1889.169,22122.0,22122.0,,,,,,
2009-04-01,,,,99902.819,1213996.0,1213996.0,0.0,0.0,0.0,1318.181,16018.0,16018.0,,,,,,
2009-05-01,,,,36338.741,510195.0,510195.0,0.0,0.0,0.0,723.259,10155.0,10155.0,,,,,,
2009-06-01,,,,225936.213,2538695.0,2538695.0,85.0,2179.0,2179.0,1377.787,15481.0,15481.0,,,,,,
2009-07-01,,,,198571.655,2322757.0,2322757.0,47.0,993.0,993.0,1850.345,21644.0,21644.0,,,,,,
2009-08-01,,,,213320.337,2418204.0,2418204.0,40.0,879.0,879.0,1604.663,18190.0,18190.0,,,,,,
2009-09-01,,,,203975.326,2277246.0,2277246.0,44.0,909.0,909.0,1315.674,14689.0,14689.0,,,,,,
2009-10-01,,,,241073.524,2704887.0,2704887.0,44.0,869.0,869.0,1554.476,17441.0,17441.0,,,,,,
2009-11-01,,,,196501.386,2280116.0,2280116.0,54.0,1020.0,1020.0,1507.614,17494.0,17494.0,,,,,,
2009-12-01,,,,261055.574,2928989.0,2928989.0,42.0,888.0,888.0,1956.4260000000002,21951.0,21951.0,,,,,,
2010-01-01,,,,225244.589,2550352.0,2550352.0,50.0,957.0,957.0,1855.411,21008.0,21008.0,,,,,,
2010-02-01,,,,139235.641,1575095.0,1575095.0,49.0,1045.0,1045.0,1120.3590000000002,12674.0,12674.0,,,,,,
2010-03-01,,,,90225.48,1018362.0,1018362.0,50.0,974.0,974.0,635.52,7173.0,7173.0,,,,,,
2010-04-01,,,,70698.937,818774.0,818774.0,44.0,933.0,933.0,774.063,8965.0,8965.0,,,,,,
2010-05-01,,,,95219.439,1076109.0,1076109.0,100.0,1932.0,1932.0,975.561,11025.0,11025.0,,,,,,
2010-06-01,,,,104530.624,1380511.0,1380511.0,174.0,3052.0,3052.0,3121.376,41223.0,41223.0,,,,,,
2010-07-01,,,,276726.994,2947665.0,2947665.0,177.0,3457.0,3457.0,3720.0060000000003,39625.0,39625.0,,,,,,
2010-08-01,,,,277571.698,2971606.0,2971606.0,164.0,3249.0,3249.0,2041.3020000000001,21854.0,21854.0,,,,,,
2010-09-01,,,,190932.263,2017342.0,2017342.0,0.0,0.0,0.0,1427.737,15085.0,15085.0,,,,,,
2010-10-01,,,,177013.794,2008765.0,2008765.0,79.0,882.0,882.0,2359.206,26772.0,26772.0,,,,,,
2010-11-01,,,,225063.422,2536891.0,2536891.0,100.0,2486.0,2486.0,1997.5780000000002,22516.0,22516.0,,,,,,
2010-12-01,,,,165126.013,1985188.0,1985188.0,43.0,551.0,551.0,2161.987,25992.0,25992.0,,,,,,
2011-01-01,,,,208803.71,2496480.0,2496480.0,56.0,907.0,907.0,1963.289,23473.0,23473.0,,,,,,
2011-02-01,,,,154390.47,1792145.0,1792145.0,55.0,1063.0,1063.0,1312.528,15236.0,15236.0,,,,,,
2011-03-01,,,,232796.13,2613594.0,2613594.0,0.0,0.0,0.0,2070.873,23250.0,23250.0,,,,,,
2011-04-01,,,,151132.6,1641690.0,1641690.0,0.0,216.0,216.0,1385.398,15049.0,15049.0,,,,,,
2011-05-01,,,,11174.745,181925.0,181925.0,0.0,0.0,0.0,263.255,4286.0,4286.0,,,,,,
2011-06-01,,,,192648.12,2030538.0,2030538.0,163.0,3314.0,3314.0,1301.885,13722.0,13722.0,,,,,,
2011-07-01,,,,288011.44,3041992.0,3041992.0,378.0,6983.0,6983.0,1926.564,20348.0,20348.0,,,,,,
2011-08-01,,,,228628.31,2502308.0,2502308.0,172.0,3267.0,3267.0,1746.688,19117.0,19117.0,,,,,,
2011-09-01,,,,297301.27,3172685.0,3172685.0,38.0,777.0,777.0,1841.729,19654.0,19654.0,,,,,,
2011-10-01,,,,242931.98,2642246.0,2642246.0,31.0,783.0,783.0,1579.02,17174.0,17174.0,,,,,,
2011-11-01,,,,240450.09,2582534.0,2582534.0,462.0,7427.0,7427.0,2420.911,26002.0,26002.0,,,,,,
2011-12-01,,,,222953.9,2437180.0,2437180.0,44.0,664.0,664.0,1574.099,17207.0,17207.0,,,,,,
2012-01-01,,,,121219.81,1424835.0,1424835.0,53.0,937.0,937.0,1306.192,15353.0,15353.0,,,,,,
2012-02-01,,,,143921.1,1568027.0,1568027.0,56.0,703.0,703.0,1198.897,13062.0,13062.0,,,,,,
2012-03-01,,,,124406.39,1399384.0,1399384.0,333.0,6151.0,6151.0,1027.609,11559.0,11559.0,,,,,,
2012-04-01,,,,163942.06,1822488.0,1822488.0,0.0,0.0,0.0,1782.937,19820.0,19820.0,,,,,,
2012-05-01,,,,155253.13,1694286.0,1694286.0,200.0,3776.0,3776.0,999.866,10912.0,10912.0,,,,,,
2012-06-01,,,,182131.92,2118499.0,2118499.0,234.0,4738.0,4738.0,4064.08,47272.0,47272.0,,,,,,
2012-07-01,,,,271566.2,3042072.0,3042072.0,1680.0,33047.0,33047.0,4041.798,45276.0,45276.0,,,,,,
2012-08-01,,,,237839.29,2658018.0,2658018.0,153.0,2912.0,2912.0,2816.709,31479.0,31479.0,,,,,,
2012-09-01,,,,36597.226,475805.0,475805.0,102.0,1988.0,1988.0,901.774,11724.0,11724.0,,,,,,
2012-10-01,,,,-3619.47,0.0,0.0,0.0,0.0,0.0,-28.53,0.0,0.0,,,,,,
2012-11-01,,,,120022.85,1360923.0,1360923.0,74.0,1629.0,1629.0,2298.151,26058.0,26058.0,,,,,,
2012-12-01,,,,222276.87,2351463.0,2351463.0,65.0,1244.0,1244.0,2073.132,21932.0,21932.0,,,,,,
2013-01-01,,,,163366.7,1823110.0,1823110.0,43.0,1011.0,1011.0,2166.296,24175.0,24175.0,,,,,,
2013-02-01,,,,166876.3,1800937.0,1800937.0,0.0,0.0,0.0,3011.699,32502.0,32502.0,,,,,,
2013-03-01,,,,134946.67,1475630.0,1475630.0,73.0,1991.0,1991.0,1648.333,18024.0,18024.0,,,,,,
2013-04-01,,,,236444.66,2642373.0,2642373.0,209.0,4085.0,4085.0,3430.338,38336.0,38336.0,,,,,,
2013-05-01,,,,145285.81,1676329.0,1676329.0,44.0,915.0,915.0,2861.194,33013.0,33013.0,,,,,,
2013-06-01,,,,233902.97,2513198.0,2513198.0,0.0,88.0,88.0,3218.031,34577.0,34577.0,,,,,,
2013-07-01,,,,217838.28,2404531.0,2404531.0,198.0,3887.0,3887.0,2145.722,23685.0,23685.0,,,,,,
2013-08-01,,,,248664.93,2676713.0,2676713.0,135.0,2190.0,2190.0,1573.066,16933.0,16933.0,,,,,,
2013-09-01,,,,220774.96,2460807.0,2460807.0,324.0,6342.0,6342.0,1569.044,17489.0,17489.0,,,,,,
2013-10-01,,,,228588.37,2420978.0,2420978.0,0.0,0.0,0.0,1590.627,16846.0,16846.0,,,,,,
2013-11-01,,,,45144.975,553337.0,553337.0,0.0,0.0,0.0,1058.025,12968.0,12968.0,,,,,,
2013-12-01,,,,202027.3,2180499.0,2180499.0,0.0,0.0,0.0,2008.7,21680.0,21680.0,,,,,,
2014-01-01,,,,249421.76,2734438.0,2734438.0,0.0,0.0,0.0,4124.238,45214.0,45214.0,,,,,,
2014-02-01,,,,200522.16,2244511.0,2244511.0,89.0,1737.0,1737.0,7730.838,86534.0,86534.0,,,,,,
2014-03-01,,,,96949.694,1056483.0,1056483.0,84.0,1588.0,1588.0,971.306,10585.0,10585.0,,,,,,
2014-04-01,,,,-2885.273,5025.0,5025.0,45.0,915.0,915.0,-589.727,1027.0,1027.0,,,,,,
2014-05-01,,,,173352.61,1977700.0,1977700.0,197.0,3983.0,3983.0,1333.389,15212.0,15212.0,,,,,,
2014-06-01,,,,202021.32,2210048.0,2210048.0,38.0,885.0,885.0,982.68,10750.0,10750.0,,,,,,
2014-07-01,,,,221989.74,2427340.0,2427340.0,0.0,0.0,0.0,2034.257,22244.0,22244.0,,,,,,
2014-08-01,,,,277262.69,2978610.0,2978610.0,77.0,1631.0,1631.0,1241.306,13335.0,13335.0,,,,,,
2014-09-01,,,,142182.06,1562413.0,1562413.0,62.0,1153.0,1153.0,1150.94,12647.0,12647.0,,,,,,
2014-10-01,,,,207626.56,2221710.0,2221710.0,43.0,768.0,768.0,1054.437,11283.0,11283.0,,,,,,
2014-11-01,,,,191632.6,2095233.0,2095233.0,69.0,1365.0,1365.0,1252.403,13693.0,13693.0,,,,,,
2014-12-01,,,,178451.97,1934227.0,1934227.0,40.0,502.0,502.0,1603.026,17375.0,17375.0,,,,,,
2015-01-01,,,,203147.75,2278820.0,2278820.0,63.0,1218.0,1218.0,2492.255,27957.0,27957.0,,,,,,
2015-02-01,,,,174798.25,1921943.0,1921943.0,79.0,1799.0,1799.0,735.746,8090.0,8090.0,,,,,,
2015-03-01,,,,61102.153,758899.0,758899.0,0.0,0.0,0.0,1948.847,24205.0,24205.0,,,,,,
2015-04-01,,,,81247.588,945757.0,945757.0,0.0,19.0,19.0,405.412,4719.0,4719.0,,,,,,
2015-05-01,,,,18911.034,259715.0,259715.0,0.0,0.0,0.0,436.966,6001.0,6001.0,,,,,,
2015-06-01,,,,166334.99,1876765.0,1876765.0,75.0,626.0,626.0,967.006,10911.0,10911.0,,,,,,
2015-07-01,,,,169644.14,1947508.0,1947508.0,54.0,537.0,537.0,387.864,4453.0,4453.0,,,,,,
2015-08-01,,,,95127.371,1236140.0,1236140.0,55.0,1119.0,1119.0,1061.629,13795.0,13795.0,,,,,,
2015-09-01,,,,166356.87,1910004.0,1910004.0,0.0,0.0,0.0,944.126,10840.0,10840.0,,,,,,
2015-10-01,,,,150594.04,1647814.0,1647814.0,0.0,0.0,0.0,1622.965,17759.0,17759.0,,,,,,
2015-11-01,,,,65985.836,809258.0,809258.0,25.0,582.0,582.0,1242.164,15234.0,15234.0,,,,,,
2015-12-01,,,,74998.314,897474.0,897474.0,0.0,2675.0,2675.0,1068.686,12789.0,12789.0,,,,,,
2016-01-01,,,,129074.12,1527375.0,1527375.0,0.0,0.0,0.0,1557.877,18435.0,18435.0,,,,,,
2016-02-01,,,,101048.85,1218092.0,1218092.0,0.0,0.0,0.0,1054.147,12707.0,12707.0,,,,,,
2016-03-01,,,,128036.54,1511438.0,1511438.0,26.0,60.0,60.0,1358.462,16036.0,16036.0,,,,,,
2016-04-01,,,,17715.996,256645.0,256645.0,786.0,14048.0,14048.0,229.004,3317.0,3317.0,,,,,,
2016-05-01,,,,90565.696,1066036.0,1066036.0,0.0,0.0,0.0,2525.304,29725.0,29725.0,,,,,,
2016-06-01,,,,203366.63,2154240.0,2154240.0,54.0,1377.0,1377.0,2930.372,31041.0,31041.0,,,,,,
2016-07-01,,,,168221.27,1906980.0,1906980.0,0.0,0.0,0.0,3600.732,40818.0,40818.0,,,,,,
2016-08-01,,,,202476.63,2270741.0,2270741.0,320.0,6508.0,6508.0,3472.369,38942.0,38942.0,,,,,,
2016-09-01,,,,147759.27,1613434.0,1613434.0,121.0,2437.0,2437.0,1809.73,19761.0,19761.0,,,,,,
2016-10-01,,,,231129.88,2489828.0,2489828.0,45.0,900.0,900.0,3357.117,36164.0,36164.0,,,,,,
2016-11-01,,,,128292.48,1444167.0,1444167.0,42.0,870.0,870.0,2646.525,29791.0,29791.0,,,,,,
2016-12-01,,,,199285.55,2199881.0,2199881.0,17.0,436.0,436.0,5821.452,64262.0,64262.0,,,,,,
2017-01-01,,,,139561.08,1601566.0,1601566.0,0.0,0.0,0.0,3993.921,45833.0,45833.0,,,,,,
2017-02-01,,,,82677.038,973510.0,973510.0,0.0,0.0,0.0,1654.962,19487.0,19487.0,,,,,,
2017-03-01,,,,32547.621,475185.0,475185.0,8.0,1099.0,1099.0,1399.379,20431.0,20431.0,,,,,,
2017-04-01,,,,125465.22,1387406.0,1387406.0,78.0,1761.0,1761.0,3139.778,34720.0,34720.0,,,,,,
2017-05-01,,,,51530.678,607381.0,607381.0,0.0,39.0,39.0,826.322,9740.0,9740.0,,,,,,
2017-06-01,,,,154874.04,1781559.0,1781559.0,10.0,609.0,609.0,4198.964,48302.0,48302.0,,,,,,
2017-07-01,,,,159196.66,1883199.0,1883199.0,10.0,705.0,705.0,6295.341,74470.0,74470.0,,,,,,
2017-08-01,,,,188170.35,2175381.0,2175381.0,4.0,243.0,243.0,6979.65,80690.0,80690.0,,,,,,
2017-09-01,,,,188565.36,2107084.0,2107084.0,0.0,0.0,0.0,4010.643,44816.0,44816.0,,,,,,
2017-10-01,,,,150886.78,1688115.0,1688115.0,0.0,0.0,0.0,3313.218,37068.0,37068.0,,,,,,
2017-11-01,,,,101333.86,1135093.0,1135093.0,0.0,0.0,0.0,1902.143,21307.0,21307.0,,,,,,
2017-12-01,,,,129396.09,1440517.0,1440517.0,0.0,0.0,0.0,3612.915,40221.0,40221.0,,,,,,
2018-01-01,,,,63742.706,836832.0,836832.0,0.0,0.0,0.0,6622.294,86939.0,86939.0,,,,,,
2018-02-01,,,,31343.83,407922.0,407922.0,57.0,1557.0,1557.0,16146.17,210133.0,210133.0,,,,,,
2018-03-01,,,,58748.98,680811.0,680811.0,82.0,2244.0,2244.0,1596.02,18495.0,18495.0,,,,,,
2018-04-01,,,,19594.966,284883.0,284883.0,20.0,775.0,775.0,1188.034,17272.0,17272.0,,,,,,
2018-05-01,,,,-4178.88,0.0,0.0,0.0,179.0,179.0,-115.12,0.0,0.0,,,,,,
2018-06-01,,,,-3337.07,0.0,0.0,9.0,338.0,338.0,-91.93,0.0,0.0,,,,,,
2018-07-01,,,,-3578.421,0.0,0.0,0.0,0.0,0.0,-98.579,0.0,0.0,,,,,,
