measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2004-09-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-10-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-11-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-12-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2005-01-01,123.608,1968.77,1968.77,,,,,,,12856.141,204783.9,204783.9,,,
2005-02-01,128.59,2048.13,2048.13,,,,,,,11468.688,182683.35,182683.35,,,
2005-03-01,144.924,2308.28,2308.28,,,,,,,13098.828,208649.63,208649.63,,,
2005-04-01,117.515,1871.73,1871.73,,,,,,,13071.75,208218.3,208218.3,,,
2005-05-01,112.771,1796.16,1796.16,,,,,,,14370.49,228905.78,228905.78,,,
2005-06-01,130.66400000000002,2081.16,2081.16,,,,,,,14237.002,226779.48,226779.48,,,
2005-07-01,133.079,2119.62,2119.62,,,,,,,14741.653,234818.0,234818.0,,,
2005-08-01,153.472,2444.44,2444.44,,,,,,,14675.026,233756.71,233756.71,,,
2005-09-01,144.887,2307.69,2307.69,,,,,,,13823.777,220197.26,220197.26,,,
2005-10-01,138.094,2199.49,2199.49,,,,,,,13954.077000000001,222272.8,222272.8,,,
2005-11-01,116.997,1863.47,1863.47,,,,,,,14054.114,223866.26,223866.26,,,
2005-12-01,121.39800000000001,1933.58,1933.58,,,,,,,14085.456,224365.52,224365.52,,,
2006-01-01,127.0,1920.0,1920.0,,,,,,,13844.0,209277.0,209277.0,,,
2006-02-01,138.0,2310.0,2310.0,,,,,,,12143.0,202905.0,202905.0,,,
2006-03-01,179.0,2910.0,2910.0,,,,,,,13547.0,220698.0,220698.0,,,
2006-04-01,30.0,465.0,465.0,,,,,,,13127.0,202338.0,202338.0,,,
2006-05-01,139.0,2238.0,2238.0,,,,,,,6266.0,101169.0,101169.0,,,
2006-06-01,85.0,1283.0,1283.0,,,,,,,13221.0,199584.0,199584.0,,,
2006-07-01,162.0,2560.0,2560.0,,,,,,,14252.0,225045.0,225045.0,,,
2006-08-01,216.0,3425.0,3425.0,,,,,,,14259.0,225720.0,225720.0,,,
2006-09-01,160.0,2548.0,2548.0,,,,,,,13902.0,221913.0,221913.0,,,
2006-10-01,79.0,1240.0,1240.0,,,,,,,14908.0,234117.0,234117.0,,,
2006-11-01,181.0,3238.0,3238.0,,,,,,,7710.0,138105.0,138105.0,,,
2006-12-01,151.0,2175.0,2175.0,,,,,,,14973.0,240678.0,240678.0,,,
2007-01-01,315.272,5215.0,5215.0,,,,,,,12798.728,211707.0,211707.0,,,
2007-02-01,205.098,3253.0,3253.0,,,,,,,12147.902,192645.0,192645.0,,,
2007-03-01,117.39,1930.0,1930.0,,,,,,,13791.61,226746.0,226746.0,,,
2007-04-01,163.77,2528.0,2528.0,,,,,,,13245.23,204417.0,204417.0,,,
2007-05-01,207.34900000000002,3170.0,3170.0,,,,,,,13206.651,201906.0,201906.0,,,
2007-06-01,93.53800000000001,1365.0,1365.0,,,,,,,13630.462,198909.0,198909.0,,,
2007-07-01,176.001,2898.0,2898.0,,,,,,,12155.999,200124.0,200124.0,,,
2007-08-01,141.981,2210.0,2210.0,,,,,,,13353.019,207846.0,207846.0,,,
2007-09-01,76.40700000000001,1255.0,1255.0,,,,,,,13025.593,213948.0,213948.0,,,
2007-10-01,331.78,5605.0,5605.0,,,,,,,13508.22,228204.0,228204.0,,,
2007-11-01,253.65300000000002,4185.0,4185.0,,,,,,,9231.347,152307.0,152307.0,,,
2007-12-01,113.381,1628.0,1628.0,,,,,,,15382.619,220806.0,220806.0,,,
2008-01-01,,,,,,,,,,13709.727,192753.0,192753.0,99.27300000000001,1396.0,1396.0
2008-02-01,,,,,,,,,,10908.396,167994.0,167994.0,109.604,1688.0,1688.0
2008-03-01,,,,,,,,,,11854.582,170424.0,170424.0,209.418,3011.0,3011.0
2008-04-01,,,,,,,,,,10354.359,150768.0,150768.0,232.64100000000002,3387.0,3387.0
2008-05-01,,,,,,,,,,11658.15,172476.0,172476.0,300.85,4451.0,4451.0
2008-06-01,,,,,,,,,,13146.265,153144.0,153144.0,228.735,2665.0,2665.0
2008-07-01,,,,,,,,,,13573.470000000001,186975.0,186975.0,86.53,1192.0,1192.0
2008-08-01,,,,,,,,,,12091.251,176958.0,176958.0,87.74900000000001,1284.0,1284.0
2008-09-01,,,,,,,,,,7886.908,139968.0,139968.0,204.092,3622.0,3622.0
2008-10-01,,,,,,,,,,11101.704,171936.0,171936.0,208.29600000000002,3226.0,3226.0
2008-11-01,,,,,,,,,,13438.753,185058.0,185058.0,198.247,2730.0,2730.0
2008-12-01,,,,,,,,,,12112.648000000001,176553.0,176553.0,212.352,3095.0,3095.0
2009-01-01,,,,,,,,,,10328.372,170127.0,170127.0,0.0,0.0,0.0
2009-02-01,,,,,,,,,,10812.0,159732.0,159732.0,0.0,0.0,0.0
2009-03-01,,,,,,,,,,9691.0,154628.0,154628.0,0.0,0.0,0.0
2009-04-01,,,,,,,,,,1909.0,35127.0,35127.0,0.0,0.0,0.0
2009-05-01,,,,,,,,,,11633.0,164592.0,164592.0,0.0,0.0,0.0
2009-06-01,,,,,,,,,,8734.885,120447.0,120447.0,1.115,15.0,15.0
2009-07-01,,,,,,,,,,14470.0,195669.0,195669.0,0.0,0.0,0.0
2009-08-01,,,,,,,,,,13839.0,189270.0,189270.0,0.0,0.0,0.0
2009-09-01,,,,,,,,,,11813.0,160110.0,160110.0,0.0,0.0,0.0
2009-10-01,,,,,,,,,,11257.0,160947.0,160947.0,0.0,0.0,0.0
2009-11-01,,,,,,,,,,10358.0,158733.0,158733.0,0.0,0.0,0.0
2009-12-01,,,,,,,,,,13850.599,192294.0,192294.0,181.401,2518.0,2518.0
2010-01-01,,,,,,,,,,13827.757,197154.0,197154.0,147.243,2099.0,2099.0
2010-02-01,45.583000000000006,707.0,707.0,,,,,,,13520.417000000001,209628.0,209628.0,,,
2010-03-01,24.17,333.0,333.0,,,,,,,3793.83,52191.0,52191.0,,,
2010-04-01,303.213,4328.0,4328.0,,,,,,,7451.787,106353.0,106353.0,,,
2010-05-01,92.598,1213.0,1213.0,,,,,,,15217.402,199260.0,199260.0,,,
2010-06-01,26.094,335.0,335.0,,,,,,,15522.905999999999,199287.0,199287.0,,,
2010-07-01,2.673,38.0,38.0,,,,,,,15158.327000000001,212625.0,212625.0,,,
2010-08-01,2061.226,31495.0,31495.0,,,,,,,15422.774000000001,235656.0,235656.0,,,
2010-09-01,2040.659,34065.0,34065.0,,,,,,,12855.341,214596.0,214596.0,,,
2010-10-01,2355.005,43183.0,43183.0,,,,,,,10003.995,183438.0,183438.0,,,
2010-11-01,3885.101,70460.0,70460.0,,,,,,,11333.899,205551.0,205551.0,,,
2010-12-01,3099.5260000000003,39728.0,39728.0,,,,,,,11636.474,149148.0,149148.0,,,
2011-01-01,,,,118.193,1840.0,1840.0,,,,13078.807,203607.0,203607.0,,,
2011-02-01,,,,61.12,1098.0,1098.0,,,,7833.88,140670.0,140670.0,,,
2011-03-01,,,,88.969,1480.0,1480.0,,,,9146.031,152145.0,152145.0,,,
2011-04-01,,,,136.61,2340.0,2340.0,,,,10600.39,181575.0,181575.0,,,
2011-05-01,,,,32.594,525.0,525.0,,,,3855.406,62100.0,62100.0,,,
2011-06-01,,,,279.672,4240.0,4240.0,,,,7647.328,115938.0,115938.0,,,
2011-07-01,,,,93.711,1325.0,1325.0,,,,13699.289,193698.0,193698.0,,,
2011-08-01,,,,131.977,2133.0,2133.0,,,,12636.023,204174.0,204174.0,,,
2011-09-01,,,,390.524,6873.0,6873.0,,,,9495.476,167103.0,167103.0,,,
2011-10-01,,,,49.076,1380.0,1380.0,,,,218.924,6156.0,6156.0,,,
2011-11-01,,,,0.0,1515.0,1515.0,,,,0.0,1701.0,1701.0,,,
2011-12-01,,,,471.705,8648.0,8648.0,,,,8620.295,158031.0,158031.0,,,
2012-01-01,,,,109.973,1893.0,1893.0,,,,12467.027,214542.0,214542.0,,,
2012-02-01,,,,258.865,4140.0,4140.0,,,,11745.135,187839.0,187839.0,,,
2012-03-01,,,,44.351,689.0,689.0,,,,16692.649,259235.0,259235.0,,,
2012-04-01,,,,92.452,1550.0,1550.0,,,,10126.548,169776.0,169776.0,,,
2012-05-01,,,,67.507,1192.0,1192.0,,,,12061.493,213059.0,213059.0,,,
2012-06-01,,,,99.651,1902.0,1902.0,,,,8830.349,168524.0,168524.0,,,
2012-07-01,,,,106.488,1994.0,1994.0,,,,12412.512,232464.0,232464.0,,,
2012-08-01,,,,29.959,555.0,555.0,,,,11152.041,206637.0,206637.0,,,
2012-09-01,,,,0.0,0.0,0.0,,,,5358.0,120457.0,120457.0,,,
2012-10-01,,,,34.47,645.0,645.0,,,,13598.53,254481.0,254481.0,,,
2012-11-01,,,,58.066,1141.0,1141.0,,,,12298.934,241693.0,241693.0,,,
2012-12-01,,,,100.531,1879.0,1879.0,,,,14184.469,265073.0,265073.0,,,
2013-01-01,,,,158.11,3455.0,3455.0,,,,8222.89,179685.0,179685.0,,,
2013-02-01,,,,171.82,3313.0,3313.0,,,,10455.18,201578.0,201578.0,,,
2013-03-01,,,,238.013,4276.0,4276.0,,,,9889.987,177698.0,177698.0,,,
2013-04-01,,,,44.921,776.0,776.0,,,,13892.079,240025.0,240025.0,,,
2013-05-01,,,,97.713,1553.0,1553.0,,,,14327.287,227637.0,227637.0,,,
2013-06-01,,,,284.407,4480.0,4480.0,,,,13622.593,214560.0,214560.0,,,
2013-07-01,,,,251.144,4238.0,4238.0,,,,13617.856,229795.0,229795.0,,,
2013-08-01,,,,374.597,6093.0,6093.0,,,,10469.403,170303.0,170303.0,,,
2013-09-01,,,,211.422,3603.0,3603.0,,,,11511.578,196185.0,196185.0,,,
2013-10-01,,,,209.083,3719.0,3719.0,,,,4549.917,80926.0,80926.0,,,
2013-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
